Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./NAM/gf2^64_mult.qasm,4539,53691,-49152(-1082.88%),,263,1711,-1448(-550.57%),,254(h),"28926(u2,u1)",-28672(-11288.19%),,"4285(cx,ccz)",24765(cx),-20480(-477.95%),,11.339448928833008
./NAM/gf2^128_mult.qasm,17275,213883,-196608(-1138.11%),,517,3437,-2920(-564.80%),,510(h),"115198(u2,u1)",-114688(-22487.84%),,"16765(cx,ccz)",98685(cx),-81920(-488.64%),,49.11712384223938
./NAM/gf2^5_mult.qasm,47,347,-300(-638.30%),,20,111,-91(-455.00%),,18(h),"193(u2,u1)",-175(-972.22%),,"29(cx,ccz)",154(cx),-125(-431.03%),,0.37398529052734375
./NAM/barenco_tof_10.qasm,66,450,-384(-581.82%),,65,241,-176(-270.77%),,34(h),"258(u2,u1)",-224(-658.82%),,32(ccz),192(cx),-160(-500.00%),,0.09458589553833008
./NAM/gf2^9_mult.qasm,123,1095,-972(-790.24%),,36,219,-183(-508.33%),,34(h),"601(u2,u1)",-567(-1667.65%),,"89(cx,ccz)",494(cx),-405(-455.06%),,0.2148447036743164
./NAM/tof_4.qasm,15,75,-60(-400.00%),,11,38,-27(-245.45%),,10(h),"45(u2,u1)",-35(-350.00%),,5(ccz),30(cx),-25(-500.00%),,0.017913103103637695
./NAM/csla_mux_3.qasm,50,170,-120(-240.00%),,17,59,-42(-247.06%),,20(h),"90(u2,u1)",-70(-350.00%),,"30(cx,ccz)",80(cx),-50(-166.67%),,0.038007497787475586
./NAM/gf2^16_mult.qasm,363,3435,-3072(-846.28%),,71,415,-344(-484.51%),,62(h),"1854(u2,u1)",-1792(-2890.32%),,"301(cx,ccz)",1581(cx),-1280(-425.25%),,0.6849732398986816
./NAM/tof_5.qasm,21,105,-84(-400.00%),,15,53,-38(-253.33%),,14(h),"63(u2,u1)",-49(-350.00%),,7(ccz),42(cx),-35(-500.00%),,0.07670044898986816
./NAM/tof_3.qasm,9,45,-36(-400.00%),,7,23,-16(-228.57%),,6(h),"27(u2,u1)",-21(-350.00%),,3(ccz),18(cx),-15(-500.00%),,0.005870819091796875
./NAM/mod_red_21.qasm,74,278,-204(-275.68%),,43,141,-98(-227.91%),,"54(h,x)","173(u3,u2,u1)",-119(-220.37%),,"20(cx,ccz)",105(cx),-85(-425.00%),,0.06460046768188477
./NAM/mod_adder_1024.qasm,865,4285,-3420(-395.38%),,521,2218,-1697(-325.72%),,570(h),"2565(u2,u1)",-1995(-350.00%),,"295(cx,ccz)",1720(cx),-1425(-483.05%),,0.8524560928344727
./NAM/gf2^6_mult.qasm,63,495,-432(-685.71%),,25,139,-114(-456.00%),,22(h),"274(u2,u1)",-252(-1145.45%),,"41(cx,ccz)",221(cx),-180(-439.02%),,0.08547186851501465
./NAM/barenco_tof_5.qasm,26,170,-144(-553.85%),,25,91,-66(-264.00%),,14(h),"98(u2,u1)",-84(-600.00%),,12(ccz),72(cx),-60(-500.00%),,0.026935815811157227
./NAM/barenco_tof_4.qasm,18,114,-96(-533.33%),,17,61,-44(-258.82%),,10(h),"66(u2,u1)",-56(-560.00%),,8(ccz),48(cx),-40(-500.00%),,0.03333020210266113
./NAM/qcla_com_7.qasm,95,443,-348(-366.32%),,15,70,-55(-366.67%),,"54(h,x)","257(u3,u2,u1)",-203(-375.93%),,"41(cx,ccz)",186(cx),-145(-353.66%),,0.08062124252319336
./NAM/gf2^4_mult.qasm,33,225,-192(-581.82%),,17,85,-68(-400.00%),,14(h),"126(u2,u1)",-112(-800.00%),,"19(cx,ccz)",99(cx),-80(-421.05%),,0.03163599967956543
./NAM/qcla_adder_10.qasm,113,521,-408(-361.06%),,15,64,-49(-326.67%),,50(h),"288(u2,u1)",-238(-476.00%),,"63(cx,ccz)",233(cx),-170(-269.84%),,0.10065031051635742
./NAM/csum_mux_9.qasm,84,420,-336(-400.00%),,15,53,-38(-253.33%),,"56(h,x)","252(u3,u2,u1)",-196(-350.00%),,28(ccz),168(cx),-140(-500.00%),,0.07904458045959473
./NAM/barenco_tof_3.qasm,10,58,-48(-480.00%),,9,31,-22(-244.44%),,6(h),"34(u2,u1)",-28(-466.67%),,4(ccz),24(cx),-20(-500.00%),,0.007719278335571289
./NAM/adder_8.qasm,216,900,-684(-316.67%),,55,191,-136(-247.27%),,"92(h,x)","491(u3,u2,u1)",-399(-433.70%),,"124(cx,ccz)",409(cx),-285(-229.84%),,0.1843876838684082
./NAM/mod_mult_55.qasm,35,119,-84(-240.00%),,14,43,-29(-207.14%),,"22(h,x)","71(u3,u2,u1)",-49(-222.73%),,"13(cx,ccz)",48(cx),-35(-269.23%),,0.02191615104675293
./NAM/qcla_mod_7.qasm,176,884,-708(-402.27%),,39,172,-133(-341.03%),,"89(h,x)","502(u3,u2,u1)",-413(-464.04%),,"87(cx,ccz)",382(cx),-295(-339.08%),,0.17177319526672363
./NAM/gf2^163_mult.qasm,27705,346533,-318828(-1150.80%),,665,4390,-3725(-560.15%),,650(h),"186633(u2,u1)",-185983(-28612.77%),,"27055(cx,ccz)",159900(cx),-132845(-491.02%),,78.80126285552979
./NAM/rc_adder_6.qasm,68,200,-132(-194.12%),,28,93,-65(-232.14%),,"30(h,x)","107(u3,u2,u1)",-77(-256.67%),,"38(cx,ccz)",93(cx),-55(-144.74%),,0.5615081787109375
./NAM/gf2^10_mult.qasm,147,1347,-1200(-816.33%),,40,246,-206(-515.00%),,38(h),"738(u2,u1)",-700(-1842.11%),,"109(cx,ccz)",609(cx),-500(-458.72%),,0.2668447494506836
./NAM/gf2^8_mult.qasm,115,883,-768(-667.83%),,39,199,-160(-410.26%),,30(h),"478(u2,u1)",-448(-1493.33%),,"85(cx,ccz)",405(cx),-320(-376.47%),,0.16996121406555176
./NAM/tof_10.qasm,51,255,-204(-400.00%),,35,128,-93(-265.71%),,34(h),"153(u2,u1)",-119(-350.00%),,17(ccz),102(cx),-85(-500.00%),,0.047621726989746094
./NAM/gf2^131_mult.qasm,18333,224265,-205932(-1123.29%),,537,3526,-2989(-556.61%),,522(h),"120649(u2,u1)",-120127(-23012.84%),,"17811(cx,ccz)",103616(cx),-85805(-481.75%),,49.218276023864746
