Filename,Size(number of gates),,,,Cycle,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
E:\github\pm\qcpm-master\benchmark\circuit\0410184_169.qasm,211,209,2(0.95%),,315,311,4(1.27%),,"107(t,tdg,x,h)","107(t,tdg,x,h)",0(-),,104(cx),102(cx),2(1.92%),,1.2030863761901855
E:\github\pm\qcpm-master\benchmark\circuit\3_17_13.qasm,36,35,1(2.78%),,53,51,2(3.77%),,"19(t,tdg,x,h)","19(t,tdg,x,h)",0(-),,17(cx),16(cx),1(5.88%),,0.06250905990600586
E:\github\pm\qcpm-master\benchmark\circuit\4gt10-v1_81.qasm,148,144,4(2.70%),,214,210,4(1.87%),,"82(t,tdg,x,h)","78(t,tdg,x,h)",4(4.88%),,66(cx),66(cx),0(-),,0.6406922340393066
E:\github\pm\qcpm-master\benchmark\circuit\4gt11_82.qasm,27,27,0(-),,45,45,0(-),,"9(t,tdg,h)","9(t,tdg,h)",0(-),,18(cx),18(cx),0(-),,0.06250834465026855
E:\github\pm\qcpm-master\benchmark\circuit\4gt11_83.qasm,23,25,-2(-8.70%),,37,41,-4(-10.81%),,"9(t,tdg,h)","9(t,tdg,h)",0(-),,14(cx),16(cx),-2(-14.29%),,0.03126788139343262
E:\github\pm\qcpm-master\benchmark\circuit\4gt11_84.qasm,18,18,0(-),,27,27,0(-),,"9(t,tdg,h)","9(t,tdg,h)",0(-),,9(cx),9(cx),0(-),,0.015629291534423828
E:\github\pm\qcpm-master\benchmark\circuit\4gt12-v0_86.qasm,251,239,12(4.78%),,367,355,12(3.27%),,"135(t,tdg,h)","123(t,tdg,h)",12(8.89%),,116(cx),116(cx),0(-),,1.1878468990325928
E:\github\pm\qcpm-master\benchmark\circuit\4gt12-v0_87.qasm,247,237,10(4.05%),,359,351,8(2.23%),,"135(t,tdg,h)","123(t,tdg,h)",12(8.89%),,112(cx),114(cx),-2(-1.79%),,1.1714529991149902
E:\github\pm\qcpm-master\benchmark\circuit\4gt12-v0_88.qasm,194,188,6(3.09%),,280,274,6(2.14%),,"108(t,tdg,h)","102(t,tdg,h)",6(5.56%),,86(cx),86(cx),0(-),,0.8593761920928955
E:\github\pm\qcpm-master\benchmark\circuit\4gt12-v1_89.qasm,228,216,12(5.26%),,328,316,12(3.66%),,"128(t,tdg,x,h)","116(t,tdg,x,h)",12(9.38%),,100(cx),100(cx),0(-),,1.031200647354126
E:\github\pm\qcpm-master\benchmark\circuit\4gt13-v1_93.qasm,68,66,2(2.94%),,98,96,2(2.04%),,"38(t,tdg,x,h)","36(t,tdg,x,h)",2(5.26%),,30(cx),30(cx),0(-),,0.21869397163391113
E:\github\pm\qcpm-master\benchmark\circuit\4gt13_90.qasm,107,101,6(5.61%),,160,154,6(3.75%),,"54(t,tdg,h)","48(t,tdg,h)",6(11.11%),,53(cx),53(cx),0(-),,0.5157647132873535
