Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./nam-benchmarks/adder_8.qasm,216,900,-684(-316.67%),,55,191,-136(-247.27%),,"92(h,x)","491(x,h,tdg,t)",-399(-433.70%),,"124(ccz,cx)",409(cx),-285(-229.84%),,0.022005796432495117
./nam-benchmarks/barenco_tof_10.qasm,66,450,-384(-581.82%),,65,241,-176(-270.77%),,34(h),"258(h,tdg,t)",-224(-658.82%),,32(ccz),192(cx),-160(-500.00%),,0.010988235473632812
./nam-benchmarks/barenco_tof_3.qasm,10,58,-48(-480.00%),,9,31,-22(-244.44%),,6(h),"34(h,tdg,t)",-28(-466.67%),,4(ccz),24(cx),-20(-500.00%),,0.00299835205078125
./nam-benchmarks/barenco_tof_4.qasm,18,114,-96(-533.33%),,17,61,-44(-258.82%),,10(h),"66(h,tdg,t)",-56(-560.00%),,8(ccz),48(cx),-40(-500.00%),,0.0049970149993896484
./nam-benchmarks/barenco_tof_5.qasm,26,170,-144(-553.85%),,25,91,-66(-264.00%),,14(h),"98(h,tdg,t)",-84(-600.00%),,12(ccz),72(cx),-60(-500.00%),,0.005001068115234375
./nam-benchmarks/csla_mux_3.qasm,50,170,-120(-240.00%),,17,59,-42(-247.06%),,20(h),"90(h,tdg,t)",-70(-350.00%),,"30(cx,ccz)",80(cx),-50(-166.67%),,0.005010843276977539
./nam-benchmarks/csum_mux_9.qasm,84,420,-336(-400.00%),,15,53,-38(-253.33%),,"56(h,x)","252(h,tdg,x,t)",-196(-350.00%),,28(ccz),168(cx),-140(-500.00%),,0.010006904602050781
./nam-benchmarks/gf2^10_mult.qasm,147,1347,-1200(-816.33%),,40,246,-206(-515.00%),,38(h),"738(h,tdg,t)",-700(-1842.11%),,"109(cx,ccz)",609(cx),-500(-458.72%),,0.02998208999633789
./nam-benchmarks/gf2^128_mult.qasm,17275,213883,-196608(-1138.11%),,517,3437,-2920(-564.80%),,510(h),"115198(h,tdg,t)",-114688(-22487.84%),,"16765(cx,ccz)",98685(cx),-81920(-488.64%),,5.588664531707764
./nam-benchmarks/gf2^131_mult.qasm,18333,224265,-205932(-1123.29%),,537,3526,-2989(-556.61%),,522(h),"120649(h,tdg,t)",-120127(-23012.84%),,"17811(cx,ccz)",103616(cx),-85805(-481.75%),,5.901454448699951
./nam-benchmarks/gf2^163_mult.qasm,27705,346533,-318828(-1150.80%),,665,4390,-3725(-560.15%),,650(h),"186633(h,tdg,t)",-185983(-28612.77%),,"27055(cx,ccz)",159900(cx),-132845(-491.02%),,9.672719478607178
./nam-benchmarks/gf2^16_mult.qasm,363,3435,-3072(-846.28%),,71,415,-344(-484.51%),,62(h),"1854(h,tdg,t)",-1792(-2890.32%),,"301(cx,ccz)",1581(cx),-1280(-425.25%),,0.13492250442504883
./nam-benchmarks/gf2^32_mult.qasm,1305,13593,-12288(-941.61%),,137,849,-712(-519.71%),,126(h),"7294(h,tdg,t)",-7168(-5688.89%),,"1179(cx,ccz)",6299(cx),-5120(-434.27%),,0.3038299083709717
./nam-benchmarks/gf2^4_mult.qasm,33,225,-192(-581.82%),,17,85,-68(-400.00%),,14(h),"126(h,tdg,t)",-112(-800.00%),,"19(cx,ccz)",99(cx),-80(-421.05%),,0.007986307144165039
./nam-benchmarks/gf2^5_mult.qasm,47,347,-300(-638.30%),,20,111,-91(-455.00%),,18(h),"193(h,tdg,t)",-175(-972.22%),,"29(cx,ccz)",154(cx),-125(-431.03%),,0.009014129638671875
./nam-benchmarks/gf2^64_mult.qasm,4539,53691,-49152(-1082.88%),,263,1711,-1448(-550.57%),,254(h),"28926(h,tdg,t)",-28672(-11288.19%),,"4285(cx,ccz)",24765(cx),-20480(-477.95%),,1.1666500568389893
./nam-benchmarks/gf2^6_mult.qasm,63,495,-432(-685.71%),,25,139,-114(-456.00%),,22(h),"274(h,tdg,t)",-252(-1145.45%),,"41(cx,ccz)",221(cx),-180(-439.02%),,0.020003795623779297
