Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./handle_random_depth_output/barenco_tof_5_before_output_output.qasm,170,510,-340(-200.00%),,91,246,-155(-170.33%),,"98(h,tdg,t)","438(ry,y,rx,x)",-340(-346.94%),,72(cx),72(cz),0(-),,0.31279969215393066
./handle_random_depth_output/barenco_tof_4_before_output_output.qasm,114,342,-228(-200.00%),,61,166,-105(-172.13%),,"66(h,tdg,t)","294(ry,y,rx,x)",-228(-345.45%),,48(cx),48(cz),0(-),,0.1871967315673828
./handle_random_depth_output/gf2^8_mult_before_output_output.qasm,883,2649,-1766(-200.00%),,200,546,-346(-173.00%),,"478(h,tdg,t)","2244(ry,y,rx,x)",-1766(-369.46%),,405(cx),405(cz),0(-),,2.2565510272979736
./handle_random_depth_output/csla_mux_3_before_original_output_output.qasm,170,510,-340(-200.00%),,59,166,-107(-181.36%),,"90(h,tdg,t)","430(ry,y,rx,x)",-340(-377.78%),,80(cx),80(cz),0(-),,0.43575167655944824
./handle_random_depth_output/tof_4_before_output_output.qasm,75,225,-150(-200.00%),,38,104,-66(-173.68%),,"45(h,tdg,t)","195(ry,y,rx,x)",-150(-333.33%),,30(cx),30(cz),0(-),,0.09830212593078613
./handle_random_depth_output/tof_3_before_output_output.qasm,45,135,-90(-200.00%),,23,64,-41(-178.26%),,"27(h,tdg,t)","117(ry,y,rx,x)",-90(-333.33%),,18(cx),18(cz),0(-),,0.03424263000488281
./handle_random_depth_output/gf2^64_mult_before_output_output.qasm,53691,161073,-107382(-200.00%),,1715,4687,-2972(-173.29%),,"28926(h,tdg,t)","136308(ry,y,rx,x)",-107382(-371.23%),,24765(cx),24765(cz),0(-),,143.36263012886047
./handle_random_depth_output/gf2^32_mult_before_output_output.qasm,13593,40779,-27186(-200.00%),,862,2345,-1483(-172.04%),,"7294(h,tdg,t)","34480(ry,y,rx,x)",-27186(-372.72%),,6299(cx),6299(cz),0(-),,37.620912075042725
./handle_random_depth_output/adder_8_before_output_output.qasm,882,2622,-1740(-197.28%),,189,521,-332(-175.66%),,"491(h,x,tdg,t)","2231(ry,y,rx,x)",-1740(-354.38%),,391(cx),391(cz),0(-),,2.120388984680176
./handle_random_depth_output/gf2^10_mult_before_output_output.qasm,1347,4041,-2694(-200.00%),,246,680,-434(-176.42%),,"738(h,tdg,t)","3432(ry,y,rx,x)",-2694(-365.04%),,609(cx),609(cz),0(-),,3.3169915676116943
./handle_random_depth_output/csum_mux_9_before_corrected_output_output.qasm,440,1264,-824(-187.27%),,58,167,-109(-187.93%),,"272(tdg,x,h,t)","1096(ry,y,rx,x)",-824(-302.94%),,168(cx),168(cz),0(-),,0.7652921676635742
