Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./handle_output/vbe_adder_3_before_output.qasm,150,150,0(-),,70,70,0(-),,"80(tdg,t,h)","80(tdg,t,h)",0(-),,70(cx),70(cx),0(-),,0.3436765670776367
./handle_output/tof_10_before_output.qasm,255,255,0(-),,128,128,0(-),,"153(tdg,t,h)","153(tdg,t,h)",0(-),,102(cx),102(cx),0(-),,0.4863426685333252
./handle_output/gf2^7_mult_before_output.qasm,741,669,72(9.72%),,188,166,22(11.70%),,"441(tdg,t,h)","369(tdg,t,h)",72(16.33%),,300(cx),300(cx),0(-),,1.6074542999267578
./handle_output/qcla_mod_7_before_output.qasm,884,884,0(-),,172,172,0(-),,"502(tdg,x,t,h)","502(tdg,x,t,h)",0(-),,382(cx),382(cx),0(-),,2.0602176189422607
./handle_output/gf2^32_mult_before_output.qasm,15515,13593,1922(12.39%),,971,862,109(11.23%),,"9216(tdg,t,h)","7294(tdg,t,h)",1922(20.86%),,6299(cx),6299(cx),0(-),,38.70989918708801
./handle_output/qcla_com_7_before_output.qasm,443,443,0(-),,70,70,0(-),,"257(tdg,x,t,h)","257(tdg,x,t,h)",0(-),,186(cx),186(cx),0(-),,1.022606372833252
./handle_output/barenco_tof_3_before_output.qasm,58,58,0(-),,31,31,0(-),,"34(tdg,t,h)","34(tdg,t,h)",0(-),,24(cx),24(cx),0(-),,0.06549906730651855
./handle_output/csla_mux_3_before_original_output.qasm,170,170,0(-),,59,59,0(-),,"90(tdg,t,h)","90(tdg,t,h)",0(-),,80(cx),80(cx),0(-),,0.44036102294921875
./handle_output/csum_mux_9_before_corrected_output.qasm,448,440,8(1.79%),,64,58,6(9.38%),,"280(tdg,x,t,h)","272(tdg,x,t,h)",8(2.86%),,168(cx),168(cx),0(-),,1.5732190608978271
./handle_output/gf2^16_mult_before_output.qasm,3885,3435,450(11.58%),,473,416,57(12.05%),,"2304(tdg,t,h)","1854(tdg,t,h)",450(19.53%),,1581(cx),1581(cx),0(-),,9.440248966217041
./handle_output/gf2^5_mult_before_output.qasm,379,347,32(8.44%),,125,111,14(11.20%),,"225(tdg,t,h)","193(tdg,t,h)",32(14.22%),,154(cx),154(cx),0(-),,0.8013455867767334
./handle_output/barenco_tof_4_before_output.qasm,114,114,0(-),,61,61,0(-),,"66(tdg,t,h)","66(tdg,t,h)",0(-),,48(cx),48(cx),0(-),,0.19245576858520508
./handle_output/mod_adder_1024_before_output.qasm,4285,4181,104(2.43%),,2218,2772,-554(-24.98%),,"2565(tdg,t,h)","2461(tdg,t,h)",104(4.05%),,1720(cx),1720(cx),0(-),,18.18777561187744
./handle_output/qcla_adder_10_before_output.qasm,521,521,0(-),,64,64,0(-),,"288(tdg,t,h)","288(tdg,t,h)",0(-),,233(cx),233(cx),0(-),,1.3093488216400146
