Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./nam_out/adder_8_output.qasm,900,2676,-1776(-197.33%),,191,527,-336(-175.92%),,"491(tdg,h,t,x)","2267(y,ry,rx,x)",-1776(-361.71%),,409(cx),409(cz),0(-),,0.09978628158569336
./nam_out/barenco_tof_10_output.qasm,450,1350,-900(-200.00%),,241,646,-405(-168.05%),,"258(tdg,h,t)","1158(y,ry,rx,x)",-900(-348.84%),,192(cx),192(cz),0(-),,0.03724241256713867
./nam_out/barenco_tof_3_output.qasm,58,174,-116(-200.00%),,31,86,-55(-177.42%),,"34(tdg,h,t)","150(y,ry,rx,x)",-116(-341.18%),,24(cx),24(cz),0(-),,0.016800403594970703
./nam_out/barenco_tof_4_output.qasm,114,342,-228(-200.00%),,61,166,-105(-172.13%),,"66(tdg,h,t)","294(y,ry,rx,x)",-228(-345.45%),,48(cx),48(cz),0(-),,0.018988609313964844
./nam_out/barenco_tof_5_output.qasm,170,510,-340(-200.00%),,91,246,-155(-170.33%),,"98(tdg,h,t)","438(y,ry,rx,x)",-340(-346.94%),,72(cx),72(cz),0(-),,0.015990734100341797
./nam_out/csla_mux_3_output.qasm,170,510,-340(-200.00%),,59,166,-107(-181.36%),,"90(tdg,h,t)","430(y,ry,rx,x)",-340(-377.78%),,80(cx),80(cz),0(-),,0.01479649543762207
./nam_out/csum_mux_9_output.qasm,420,1204,-784(-186.67%),,53,147,-94(-177.36%),,"252(tdg,h,t,x)","1036(y,ry,rx,x)",-784(-311.11%),,168(cx),168(cz),0(-),,0.029564380645751953
./nam_out/gf2^10_mult_output.qasm,1347,4041,-2694(-200.00%),,246,680,-434(-176.42%),,"738(tdg,h,t)","3432(y,ry,rx,x)",-2694(-365.04%),,609(cx),609(cz),0(-),,0.09096765518188477
./nam_out/gf2^128_mult_output.qasm,213883,641649,-427766(-200.00%),,3437,9420,-5983(-174.08%),,"115198(tdg,h,t)","542964(y,ry,rx,x)",-427766(-371.33%),,98685(cx),98685(cz),0(-),,20.680094242095947
./nam_out/gf2^131_mult_output.qasm,224265,672795,-448530(-200.00%),,3526,9658,-6132(-173.91%),,"120649(tdg,h,t)","569179(y,ry,rx,x)",-448530(-371.76%),,103616(cx),103616(cz),0(-),,23.306089401245117
./nam_out/gf2^163_mult_output.qasm,346533,1039599,-693066(-200.00%),,4390,12026,-7636(-173.94%),,"186633(tdg,h,t)","879699(y,ry,rx,x)",-693066(-371.35%),,159900(cx),159900(cz),0(-),,40.81441521644592
./nam_out/gf2^16_mult_output.qasm,3435,10305,-6870(-200.00%),,415,1136,-721(-173.73%),,"1854(tdg,h,t)","8724(y,ry,rx,x)",-6870(-370.55%),,1581(cx),1581(cz),0(-),,0.4489164352416992
./nam_out/gf2^32_mult_output.qasm,13593,40779,-27186(-200.00%),,849,2324,-1475(-173.73%),,"7294(tdg,h,t)","34480(y,ry,rx,x)",-27186(-372.72%),,6299(cx),6299(cz),0(-),,0.9364402294158936
./nam_out/gf2^4_mult_output.qasm,225,675,-450(-200.00%),,85,236,-151(-177.65%),,"126(tdg,h,t)","576(y,ry,rx,x)",-450(-357.14%),,99(cx),99(cz),0(-),,0.04333806037902832
./nam_out/gf2^5_mult_output.qasm,347,1041,-694(-200.00%),,111,310,-199(-179.28%),,"193(tdg,h,t)","887(y,ry,rx,x)",-694(-359.59%),,154(cx),154(cz),0(-),,0.04978322982788086
./nam_out/gf2^64_mult_output.qasm,53691,161073,-107382(-200.00%),,1711,4688,-2977(-173.99%),,"28926(tdg,h,t)","136308(y,ry,rx,x)",-107382(-371.23%),,24765(cx),24765(cz),0(-),,3.733215570449829
./nam_out/gf2^6_mult_output.qasm,495,1485,-990(-200.00%),,139,384,-245(-176.26%),,"274(tdg,h,t)","1264(y,ry,rx,x)",-990(-361.31%),,221(cx),221(cz),0(-),,0.08479714393615723
./nam_out/gf2^7_mult_output.qasm,669,2007,-1338(-200.00%),,166,458,-292(-175.90%),,"369(tdg,h,t)","1707(y,ry,rx,x)",-1338(-362.60%),,300(cx),300(cz),0(-),,0.05510354042053223
./nam_out/gf2^8_mult_output.qasm,883,2649,-1766(-200.00%),,199,544,-345(-173.37%),,"478(tdg,h,t)","2244(y,ry,rx,x)",-1766(-369.46%),,405(cx),405(cz),0(-),,0.05597710609436035
./nam_out/gf2^9_mult_output.qasm,1095,3285,-2190(-200.00%),,219,606,-387(-176.71%),,"601(tdg,h,t)","2791(y,ry,rx,x)",-2190(-364.39%),,494(cx),494(cz),0(-),,0.0739450454711914
./nam_out/mod5_4_output.qasm,63,187,-124(-196.83%),,36,97,-61(-169.44%),,"35(tdg,h,t,x)","159(y,ry,rx,x)",-124(-354.29%),,28(cx),28(cz),0(-),,0.02098822593688965
