Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/handle/vbe_adder_3_after_light.qasm,89,89,0(-),,56,57,-1(-1.79%),,"39(s,tdg,h,t,sdg)","39(s,tdg,h,t,sdg)",0(-),,50(cx),50(cx),0(-),,0.22980332374572754
./benchmark/handle/csla_mux_3_after_heavy.qasm,155,155,0(-),,63,63,0(-),,"85(h,s,t,tdg)","85(h,s,t,tdg)",0(-),,70(cx),70(cx),0(-),,0.2992730140686035
./benchmark/handle/csum_mux_9_after_heavy.qasm,266,266,0(-),,47,47,0(-),,"126(s,tdg,h,t,sdg)","126(s,tdg,h,t,sdg)",0(-),,140(cx),140(cx),0(-),,0.8149154186248779
./benchmark/handle/gf2^E163_mult_after_light.qasm,267558,267558,0(-),,5445,5446,-1(-0.02%),,"107658(s,tdg,h,t,sdg)","107658(s,tdg,h,t,sdg)",0(-),,159900(cx),159900(cx),0(-),,1367.9978535175323
./benchmark/handle/gf2^E131_mult_after_light.qasm,173370,173370,0(-),,4373,4382,-9(-0.21%),,"69754(s,tdg,h,t,sdg)","69754(s,tdg,h,t,sdg)",0(-),,103616(cx),103616(cx),0(-),,885.2803525924683
./benchmark/handle/gf2^E4_mult_after_heavy.qasm,187,187,0(-),,102,102,0(-),,"88(s,tdg,h,t,sdg)","88(s,tdg,h,t,sdg)",0(-),,99(cx),99(cx),0(-),,0.5924966335296631
./benchmark/handle/tof_3_before.qasm,9,45,-36(-400.00%),,7,23,-16(-228.57%),,6(h),"27(h,t,tdg)",-21(-350.00%),,3(ccz),18(cx),-15(-500.00%),,0.024622201919555664
./benchmark/handle/qcla_adder_10_after_light.qasm,411,411,0(-),,66,66,0(-),,"216(s,tdg,h,t,sdg)","216(s,tdg,h,t,sdg)",0(-),,195(cx),195(cx),0(-),,0.9673874378204346
./benchmark/handle/csla_mux_3_before_original.qasm,50,170,-120(-240.00%),,17,59,-42(-247.06%),,20(h),"90(h,t,tdg)",-70(-350.00%),,"30(cx,ccz)",80(cx),-50(-166.67%),,0.36443018913269043
./benchmark/handle/gf2^E6_mult_before.qasm,113,495,-382(-338.05%),,43,139,-96(-223.26%),,72(h),"274(h,t,tdg)",-202(-280.56%),,"41(cx,ccz)",221(cx),-180(-439.02%),,1.042003870010376
./benchmark/handle/gf2^E8_mult_before.qasm,213,883,-670(-314.55%),,65,200,-135(-207.69%),,128(h),"478(h,t,tdg)",-350(-273.44%),,"85(cx,ccz)",405(cx),-320(-376.47%),,2.1070733070373535
./benchmark/handle/adder_8_before.qasm,216,882,-666(-308.33%),,55,189,-134(-243.64%),,"92(h,x)","491(h,t,x,tdg)",-399(-433.70%),,"124(cx,ccz)",391(cx),-267(-215.32%),,5.6931047439575195
./benchmark/handle/mod_adder_1024_before.qasm,865,4285,-3420(-395.38%),,521,2218,-1697(-325.72%),,570(h),"2565(h,t,tdg)",-1995(-350.00%),,"295(cx,ccz)",1720(cx),-1425(-483.05%),,7.089641809463501
./benchmark/handle/barenco_tof_4_after_light.qasm,78,78,0(-),,75,71,4(5.33%),,"38(h,t,tdg)","38(h,t,tdg)",0(-),,40(cx),40(cx),0(-),,0.15172338485717773
./benchmark/handle/gf2^E9_mult_after_heavy.qasm,891,891,0(-),,259,259,0(-),,"397(s,tdg,h,t,sdg)","397(s,tdg,h,t,sdg)",0(-),,494(cx),494(cx),0(-),,3.5248196125030518
./benchmark/handle/mod_red_21_after_heavy.qasm,180,180,0(-),,129,129,0(-),,"103(h,t,tdg)","103(h,t,tdg)",0(-),,77(cx),77(cx),0(-),,0.3131675720214844
./benchmark/handle/gf2^E7_mult_after_light.qasm,555,555,0(-),,207,207,0(-),,"255(s,tdg,h,t,sdg)","255(s,tdg,h,t,sdg)",0(-),,300(cx),300(cx),0(-),,2.0044193267822266
./benchmark/handle/barenco_tof_10_before.qasm,66,450,-384(-581.82%),,65,241,-176(-270.77%),,34(h),"258(h,t,tdg)",-224(-658.82%),,32(ccz),192(cx),-160(-500.00%),,0.822350025177002
./benchmark/handle/barenco_tof_5_after_heavy.qasm,104,104,0(-),,95,95,0(-),,"54(h,t,tdg)","54(h,t,tdg)",0(-),,50(cx),50(cx),0(-),,0.20693683624267578
./benchmark/handle/vbe_adder_3_after_heavy.qasm,89,89,0(-),,58,62,-4(-6.90%),,"39(s,tdg,h,t,sdg)","39(s,tdg,h,t,sdg)",0(-),,50(cx),50(cx),0(-),,0.23775172233581543
./benchmark/handle/gf2^E10_mult_after_light.qasm,1070,1070,0(-),,299,299,0(-),,"461(s,tdg,h,t,z,sdg)","461(s,tdg,h,t,z,sdg)",0(-),,609(cx),609(cx),0(-),,4.603014707565308
./benchmark/handle/gf2^E131_mult_before.qasm,52133,224265,-172132(-330.18%),,1055,3535,-2480(-235.07%),,34322(h),"120649(h,t,tdg)",-86327(-251.52%),,"17811(cx,ccz)",103616(cx),-85805(-481.75%),,545.4424684047699
./benchmark/handle/barenco_tof_10_after_heavy.qasm,264,264,0(-),,230,230,0(-),,"134(h,t,tdg)","134(h,t,tdg)",0(-),,130(cx),130(cx),0(-),,0.72928786277771
./benchmark/handle/barenco_tof_10_after_light.qasm,294,294,0(-),,261,257,4(1.53%),,"134(h,t,tdg)","134(h,t,tdg)",0(-),,160(cx),160(cx),0(-),,1.013735055923462
./benchmark/handle/tof_10_after_light.qasm,175,175,0(-),,136,136,0(-),,"105(h,t,tdg)","105(h,t,tdg)",0(-),,70(cx),70(cx),0(-),,0.24066424369812012
./benchmark/handle/gf2^E7_mult_before.qasm,153,669,-516(-337.25%),,51,166,-115(-225.49%),,98(h),"369(h,t,tdg)",-271(-276.53%),,"55(cx,ccz)",300(cx),-245(-445.45%),,1.4306275844573975
./benchmark/handle/rc_adder_6_after_heavy.qasm,140,140,0(-),,83,83,0(-),,"69(h,t,tdg)","69(h,t,tdg)",0(-),,71(cx),71(cx),0(-),,0.30153489112854004
./benchmark/handle/csum_mux_9_after_light.qasm,294,294,0(-),,51,49,2(3.92%),,"126(s,tdg,h,t,sdg)","126(s,tdg,h,t,sdg)",0(-),,168(cx),168(cx),0(-),,1.1702406406402588
./benchmark/handle/qcla_mod_7_before.qasm,176,884,-708(-402.27%),,39,172,-133(-341.03%),,"89(h,x)","502(h,t,x,tdg)",-413(-464.04%),,"87(cx,ccz)",382(cx),-295(-339.08%),,1.854339361190796
./benchmark/handle/qcla_com_7_after_heavy.qasm,284,284,0(-),,70,70,0(-),,"152(s,tdg,h,t,sdg,x)","152(s,tdg,h,t,sdg,x)",0(-),,132(cx),132(cx),0(-),,0.7435357570648193
./benchmark/handle/tof_10_before.qasm,51,255,-204(-400.00%),,35,128,-93(-265.71%),,34(h),"153(h,t,tdg)",-119(-350.00%),,17(ccz),102(cx),-85(-500.00%),,0.37788867950439453
./benchmark/handle/mod_mult_55_after_heavy.qasm,91,91,0(-),,47,47,0(-),,"51(h,sdg,t,tdg)","51(h,sdg,t,tdg)",0(-),,40(cx),40(cx),0(-),,0.13829326629638672
./benchmark/handle/qcla_adder_10_before.qasm,113,521,-408(-361.06%),,15,64,-49(-326.67%),,50(h),"288(h,t,tdg)",-238(-476.00%),,"63(cx,ccz)",233(cx),-170(-269.84%),,1.1480729579925537
./benchmark/handle/mod5_4_after_light.qasm,51,51,0(-),,46,46,0(-),,"23(h,t,x,tdg)","23(h,t,x,tdg)",0(-),,28(cx),28(cx),0(-),,0.0748295783996582
./benchmark/handle/gf2^E32_mult_after_light.qasm,10601,10601,0(-),,1038,1051,-13(-1.25%),,"4302(s,tdg,h,t,z,sdg)","4302(s,tdg,h,t,z,sdg)",0(-),,6299(cx),6299(cx),0(-),,53.27861285209656
./benchmark/handle/barenco_tof_5_after_light.qasm,114,114,0(-),,106,102,4(3.77%),,"54(h,t,tdg)","54(h,t,tdg)",0(-),,60(cx),60(cx),0(-),,0.29205751419067383
./benchmark/handle/barenco_tof_3_after_light.qasm,42,42,0(-),,41,39,2(4.88%),,"22(h,t,tdg)","22(h,t,tdg)",0(-),,20(cx),20(cx),0(-),,0.029610395431518555
./benchmark/handle/tof_4_after_heavy.qasm,55,55,0(-),,46,46,0(-),,"33(h,t,tdg)","33(h,t,tdg)",0(-),,22(cx),22(cx),0(-),,0.041310787200927734
./benchmark/handle/tof_10_after_heavy.qasm,175,175,0(-),,136,136,0(-),,"105(h,t,tdg)","105(h,t,tdg)",0(-),,70(cx),70(cx),0(-),,0.23983097076416016
./benchmark/handle/gf2^E8_mult_after_light.qasm,712,712,0(-),,244,245,-1(-0.41%),,"307(s,tdg,h,t,z,sdg)","307(s,tdg,h,t,z,sdg)",0(-),,405(cx),405(cx),0(-),,3.072736978530884
./benchmark/handle/gf2^E128_mult_before.qasm,49533,213883,-164350(-331.80%),,1023,3452,-2429(-237.44%),,32768(h),"115198(h,t,tdg)",-82430(-251.56%),,"16765(cx,ccz)",98685(cx),-81920(-488.64%),,513.7499973773956
./benchmark/handle/gf2^E10_mult_before.qasm,309,1347,-1038(-335.92%),,73,246,-173(-236.99%),,200(h),"738(h,t,tdg)",-538(-269.00%),,"109(cx,ccz)",609(cx),-500(-458.72%),,3.0616917610168457
./benchmark/handle/gf2^E163_mult_before.qasm,80193,346533,-266340(-332.12%),,1311,4391,-3080(-234.94%),,53138(h),"186633(h,t,tdg)",-133495(-251.22%),,"27055(cx,ccz)",159900(cx),-132845(-491.02%),,833.4298901557922
./benchmark/handle/barenco_tof_5_before.qasm,26,170,-144(-553.85%),,25,91,-66(-264.00%),,14(h),"98(h,t,tdg)",-84(-600.00%),,12(ccz),72(cx),-60(-500.00%),,0.31734681129455566
./benchmark/handle/qcla_com_7_before.qasm,95,443,-348(-366.32%),,15,70,-55(-366.67%),,"54(h,x)","257(h,t,x,tdg)",-203(-375.93%),,"41(cx,ccz)",186(cx),-145(-353.66%),,0.8953754901885986
./benchmark/handle/gf2^E128_mult_after_light.qasm,165051,165051,0(-),,4202,4217,-15(-0.36%),,"66366(s,tdg,h,t,z,sdg)","66366(s,tdg,h,t,z,sdg)",0(-),,98685(cx),98685(cx),0(-),,842.0016846656799
./benchmark/handle/gf2^E5_mult_after_heavy.qasm,296,296,0(-),,132,132,0(-),,"142(s,tdg,h,t,sdg)","142(s,tdg,h,t,sdg)",0(-),,154(cx),154(cx),0(-),,0.950488805770874
./benchmark/handle/gf2^E16_mult_before.qasm,813,3435,-2622(-322.51%),,129,416,-287(-222.48%),,512(h),"1854(h,t,tdg)",-1342(-262.11%),,"301(cx,ccz)",1581(cx),-1280(-425.25%),,8.439266204833984
./benchmark/handle/gf2^E9_mult_before.qasm,251,1095,-844(-336.25%),,64,219,-155(-242.19%),,162(h),"601(h,t,tdg)",-439(-270.99%),,"89(cx,ccz)",494(cx),-405(-455.06%),,2.4701409339904785
./benchmark/handle/gf2^E32_mult_after_heavy.qasm,10601,10601,0(-),,1006,1019,-13(-1.29%),,"4302(s,tdg,h,t,z,sdg)","4302(s,tdg,h,t,z,sdg)",0(-),,6299(cx),6299(cx),0(-),,53.86772584915161
./benchmark/handle/gf2^E64_mult_after_light.qasm,41563,41563,0(-),,2092,2096,-4(-0.19%),,"16798(s,tdg,h,t,z,sdg)","16798(s,tdg,h,t,z,sdg)",0(-),,24765(cx),24765(cx),0(-),,210.2617688179016
./benchmark/handle/gf2^E32_mult_before.qasm,3227,13593,-10366(-321.23%),,259,862,-603(-232.82%),,2048(h),"7294(h,t,tdg)",-5246(-256.15%),,"1179(cx,ccz)",6299(cx),-5120(-434.27%),,34.276960611343384
./benchmark/handle/gf2^E5_mult_after_light.qasm,296,296,0(-),,138,138,0(-),,"142(s,tdg,h,t,sdg)","142(s,tdg,h,t,sdg)",0(-),,154(cx),154(cx),0(-),,0.9277095794677734
./benchmark/handle/tof_3_after_heavy.qasm,35,35,0(-),,31,31,0(-),,"21(h,t,tdg)","21(h,t,tdg)",0(-),,14(cx),14(cx),0(-),,0.013736248016357422
./benchmark/handle/gf2^E6_mult_after_light.qasm,403,403,0(-),,172,172,0(-),,"182(s,tdg,h,t,z,sdg)","182(s,tdg,h,t,z,sdg)",0(-),,221(cx),221(cx),0(-),,1.5134379863739014
./benchmark/handle/gf2^E10_mult_after_heavy.qasm,1070,1070,0(-),,291,291,0(-),,"461(s,tdg,h,t,z,sdg)","461(s,tdg,h,t,z,sdg)",0(-),,609(cx),609(cx),0(-),,4.706575632095337
./benchmark/handle/vbe_adder_3_before.qasm,30,150,-120(-400.00%),,20,70,-50(-250.00%),,10(h),"80(h,t,tdg)",-70(-700.00%),,"20(cx,ccz)",70(cx),-50(-250.00%),,0.30025768280029297
./benchmark/handle/gf2^E4_mult_after_light.qasm,187,187,0(-),,106,106,0(-),,"88(s,tdg,h,t,sdg)","88(s,tdg,h,t,sdg)",0(-),,99(cx),99(cx),0(-),,0.5780115127563477
./benchmark/handle/barenco_tof_4_before.qasm,18,114,-96(-533.33%),,17,61,-44(-258.82%),,10(h),"66(h,t,tdg)",-56(-560.00%),,8(ccz),48(cx),-40(-500.00%),,0.16020512580871582
./benchmark/handle/csla_mux_3_after_light.qasm,161,161,0(-),,69,69,0(-),,"85(h,s,t,tdg)","85(h,s,t,tdg)",0(-),,76(cx),76(cx),0(-),,0.351024866104126
./benchmark/handle/gf2^E64_mult_before.qasm,12477,53691,-41214(-330.32%),,513,1715,-1202(-234.31%),,8192(h),"28926(h,t,tdg)",-20734(-253.10%),,"4285(cx,ccz)",24765(cx),-20480(-477.95%),,129.42972707748413
./benchmark/handle/gf2^E4_mult_before.qasm,51,225,-174(-341.18%),,27,85,-58(-214.81%),,32(h),"126(h,t,tdg)",-94(-293.75%),,"19(cx,ccz)",99(cx),-80(-421.05%),,0.428849458694458
