Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_6.qasm,270,207,63(23.33%),,45,37,8(17.78%),,90(x),52(x),38(42.22%),,180(cx),155(cx),25(13.89%),,16.78441668
./data/benchmark/BIGD/20QBT_45CYC_.3D1_.1D2_9.qasm,315,91,224(71.11%),,45,19,26(57.78%),,270(x),54(x),216(80.00%),,45(cx),37(cx),8(17.78%),,6.95863986
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_1.qasm,270,204,66(24.44%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),204(cx),66(24.44%),,23.02583981
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_1.qasm,45,32,13(28.89%),,45,31,14(31.11%),,0(),0(),0(-),,45(cx),32(cx),13(28.89%),,0.774221182
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_5.qasm,270,202,68(25.19%),,45,43,2(4.44%),,0(),0(),0(-),,270(cx),202(cx),68(25.19%),,21.19305348
./data/benchmark/BIGD/20QBT_45CYC_.2D1_.6D2_7.qasm,450,300,150(33.33%),,45,45,0(-),,180(x),86(x),94(52.22%),,270(cx),214(cx),56(20.74%),,36.71231818
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_3.qasm,90,66,24(26.67%),,45,20,25(55.56%),,0(),0(),0(-),,90(cx),66(cx),24(26.67%),,2.869258165
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_6.qasm,90,67,23(25.56%),,45,23,22(48.89%),,0(),0(),0(-),,90(cx),67(cx),23(25.56%),,2.660839081
./data/benchmark/BIGD/20QBT_45CYC_.3D1_.2D2_2.qasm,360,152,208(57.78%),,45,25,20(44.44%),,270(x),76(x),194(71.85%),,90(cx),76(cx),14(15.56%),,11.8008132
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_0.qasm,135,99,36(26.67%),,45,30,15(33.33%),,0(),0(),0(-),,135(cx),99(cx),36(26.67%),,5.779203415
./data/benchmark/BIGD/20QBT_45CYC_.7D1_.1D2_0.qasm,675,121,554(82.07%),,45,19,26(57.78%),,630(x),78(x),552(87.62%),,45(cx),43(cx),2(4.44%),,28.07242608
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_0.qasm,225,156,69(30.67%),,45,36,9(20.00%),,0(),0(),0(-),,225(cx),156(cx),69(30.67%),,13.93270421
./data/benchmark/BIGD/20QBT_45CYC_.5D1_.2D2_7.qasm,540,182,358(66.30%),,45,32,13(28.89%),,450(x),94(x),356(79.11%),,90(cx),88(cx),2(2.22%),,22.28160477
./data/benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_4.qasm,270,147,123(45.56%),,45,34,11(24.44%),,180(x),64(x),116(64.44%),,90(cx),83(cx),7(7.78%),,9.044989824
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.7D2_7.qasm,405,297,108(26.67%),,45,47,-2(-4.44%),,90(x),48(x),42(46.67%),,315(cx),249(cx),66(20.95%),,39.33498454
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_7.qasm,315,238,77(24.44%),,45,40,5(11.11%),,90(x),54(x),36(40.00%),,225(cx),184(cx),41(18.22%),,22.63467598
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_0.qasm,315,229,86(27.30%),,45,40,5(11.11%),,90(x),48(x),42(46.67%),,225(cx),181(cx),44(19.56%),,21.81640434
./data/benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_4.qasm,540,258,282(52.22%),,45,45,0(-),,360(x),108(x),252(70.00%),,180(cx),150(cx),30(16.67%),,31.16577411
./data/benchmark/BIGD/20QBT_45CYC_.3D1_.1D2_2.qasm,315,99,216(68.57%),,45,26,19(42.22%),,270(x),62(x),208(77.04%),,45(cx),37(cx),8(17.78%),,7.214983225
./data/benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_6.qasm,540,251,289(53.52%),,45,40,5(11.11%),,360(x),100(x),260(72.22%),,180(cx),151(cx),29(16.11%),,30.9390192
./data/benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_3.qasm,540,236,304(56.30%),,45,42,3(6.67%),,360(x),100(x),260(72.22%),,180(cx),136(cx),44(24.44%),,28.46304083
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_3.qasm,225,172,53(23.56%),,45,40,5(11.11%),,0(),0(),0(-),,225(cx),172(cx),53(23.56%),,16.3034749
./data/benchmark/BIGD/20QBT_45CYC_.2D1_.6D2_6.qasm,450,310,140(31.11%),,45,45,0(-),,180(x),96(x),84(46.67%),,270(cx),214(cx),56(20.74%),,34.80080438
./data/benchmark/BIGD/20QBT_45CYC_.2D1_.6D2_2.qasm,450,300,150(33.33%),,45,43,2(4.44%),,180(x),94(x),86(47.78%),,270(cx),206(cx),64(23.70%),,34.39396167
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_5.qasm,135,71,64(47.41%),,45,18,27(60.00%),,90(x),32(x),58(64.44%),,45(cx),39(cx),6(13.33%),,2.175792694
./data/benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_7.qasm,270,139,131(48.52%),,45,31,14(31.11%),,180(x),56(x),124(68.89%),,90(cx),83(cx),7(7.78%),,9.112056017
./data/benchmark/BIGD/20QBT_45CYC_.7D1_.1D2_1.qasm,675,132,543(80.44%),,45,22,23(51.11%),,630(x),94(x),536(85.08%),,45(cx),38(cx),7(15.56%),,27.8290081
./data/benchmark/BIGD/20QBT_45CYC_.3D1_.2D2_6.qasm,360,138,222(61.67%),,45,25,20(44.44%),,270(x),60(x),210(77.78%),,90(cx),78(cx),12(13.33%),,11.65745234
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.6D2_6.qasm,360,269,91(25.28%),,45,43,2(4.44%),,90(x),58(x),32(35.56%),,270(cx),211(cx),59(21.85%),,29.43454409
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_8.qasm,90,72,18(20.00%),,45,34,11(24.44%),,0(),0(),0(-),,90(cx),72(cx),18(20.00%),,3.038678646
./data/benchmark/BIGD/20QBT_45CYC_.3D1_.4D2_8.qasm,450,260,190(42.22%),,45,41,4(8.89%),,270(x),96(x),174(64.44%),,180(cx),164(cx),16(8.89%),,27.66451049
./data/benchmark/BIGD/20QBT_45CYC_.3D1_.2D2_1.qasm,360,165,195(54.17%),,45,27,18(40.00%),,270(x),80(x),190(70.37%),,90(cx),85(cx),5(5.56%),,12.86251903
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_4.qasm,135,103,32(23.70%),,45,31,14(31.11%),,0(),0(),0(-),,135(cx),103(cx),32(23.70%),,5.948686361
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.6D2_7.qasm,360,267,93(25.83%),,45,47,-2(-4.44%),,90(x),56(x),34(37.78%),,270(cx),211(cx),59(21.85%),,29.92249227
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_0.qasm,90,73,17(18.89%),,45,29,16(35.56%),,0(),0(),0(-),,90(cx),73(cx),17(18.89%),,2.987810135
./data/benchmark/BIGD/20QBT_45CYC_.3D1_.5D2_0.qasm,495,293,202(40.81%),,45,45,0(-),,270(x),112(x),158(58.52%),,225(cx),181(cx),44(19.56%),,32.87239838
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.6D2_4.qasm,360,260,100(27.78%),,45,41,4(8.89%),,90(x),54(x),36(40.00%),,270(cx),206(cx),64(23.70%),,28.1619854
./data/benchmark/BIGD/20QBT_45CYC_.3D1_.5D2_8.qasm,495,268,227(45.86%),,45,46,-1(-2.22%),,270(x),90(x),180(66.67%),,225(cx),178(cx),47(20.89%),,30.92840481
./data/benchmark/BIGD/20QBT_45CYC_.2D1_.3D2_7.qasm,315,193,122(38.73%),,45,35,10(22.22%),,180(x),70(x),110(61.11%),,135(cx),123(cx),12(8.89%),,14.75738788
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_8.qasm,315,238,77(24.44%),,45,45,0(-),,0(),0(),0(-),,315(cx),238(cx),77(24.44%),,29.7703979
./data/benchmark/BIGD/20QBT_45CYC_.4D1_.2D2_1.qasm,450,161,289(64.22%),,45,27,18(40.00%),,360(x),80(x),280(77.78%),,90(cx),81(cx),9(10.00%),,16.86890411
./data/benchmark/BIGD/20QBT_45CYC_.5D1_.3D2_7.qasm,585,219,366(62.56%),,45,39,6(13.33%),,450(x),98(x),352(78.22%),,135(cx),121(cx),14(10.37%),,28.97326708
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_4.qasm,180,132,48(26.67%),,45,28,17(37.78%),,90(x),48(x),42(46.67%),,90(cx),84(cx),6(6.67%),,6.166450977
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_9.qasm,135,87,48(35.56%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),87(cx),48(35.56%),,4.415103197
./data/benchmark/BIGD/20QBT_45CYC_.2D1_.4D2_4.qasm,360,232,128(35.56%),,45,36,9(20.00%),,180(x),84(x),96(53.33%),,180(cx),148(cx),32(17.78%),,19.88937759
./data/benchmark/BIGD/20QBT_45CYC_.3D1_.3D2_9.qasm,405,216,189(46.67%),,45,33,12(26.67%),,270(x),96(x),174(64.44%),,135(cx),120(cx),15(11.11%),,19.14872384
./data/benchmark/BIGD/20QBT_45CYC_.2D1_.5D2_6.qasm,405,296,109(26.91%),,45,44,1(2.22%),,180(x),106(x),74(41.11%),,225(cx),190(cx),35(15.56%),,29.79322958
./data/benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_3.qasm,270,135,135(50.00%),,45,30,15(33.33%),,180(x),60(x),120(66.67%),,90(cx),75(cx),15(16.67%),,8.272629976
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_8.qasm,270,194,76(28.15%),,45,42,3(6.67%),,0(),0(),0(-),,270(cx),194(cx),76(28.15%),,20.44180965
./data/benchmark/BIGD/20QBT_45CYC_.4D1_.3D2_2.qasm,495,222,273(55.15%),,45,36,9(20.00%),,360(x),102(x),258(71.67%),,135(cx),120(cx),15(11.11%),,24.01976204
