Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_6.qasm,270,193,77(28.52%),,45,37,8(17.78%),,90(x),52(x),38(42.22%),,180(cx),141(cx),39(21.67%),,4.891021728515625
./benchmark/BIGD/20QBT_45CYC_.3D1_.1D2_9.qasm,315,72,243(77.14%),,45,19,26(57.78%),,270(x),36(x),234(86.67%),,45(cx),36(cx),9(20.00%),,1.0294597148895264
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_1.qasm,270,183,87(32.22%),,45,39,6(13.33%),,0(),0(),0(-),,270(cx),183(cx),87(32.22%),,19.618751525878906
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_1.qasm,45,26,19(42.22%),,45,22,23(51.11%),,0(),0(),0(-),,45(cx),26(cx),19(42.22%),,0.18057990074157715
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_5.qasm,270,161,109(40.37%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),161(cx),109(40.37%),,14.864737510681152
./benchmark/BIGD/20QBT_45CYC_.2D1_.6D2_7.qasm,450,287,163(36.22%),,45,43,2(4.44%),,180(x),90(x),90(50.00%),,270(cx),197(cx),73(27.04%),,8.996838092803955
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_3.qasm,90,57,33(36.67%),,45,21,24(53.33%),,0(),0(),0(-),,90(cx),57(cx),33(36.67%),,2.8964011669158936
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_6.qasm,90,55,35(38.89%),,45,17,28(62.22%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,2.2244715690612793
./benchmark/BIGD/20QBT_45CYC_.3D1_.2D2_2.qasm,360,132,228(63.33%),,45,22,23(51.11%),,270(x),60(x),210(77.78%),,90(cx),72(cx),18(20.00%),,2.837658166885376
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_0.qasm,135,85,50(37.04%),,45,27,18(40.00%),,0(),0(),0(-),,135(cx),85(cx),50(37.04%),,7.502849817276001
./benchmark/BIGD/20QBT_45CYC_.7D1_.1D2_0.qasm,675,83,592(87.70%),,45,22,23(51.11%),,630(x),42(x),588(93.33%),,45(cx),41(cx),4(8.89%),,6.226004362106323
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_0.qasm,225,126,99(44.00%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),126(cx),99(44.00%),,11.325000524520874
./benchmark/BIGD/20QBT_45CYC_.5D1_.2D2_7.qasm,540,149,391(72.41%),,45,29,16(35.56%),,450(x),68(x),382(84.89%),,90(cx),81(cx),9(10.00%),,3.2496047019958496
./benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_4.qasm,270,139,131(48.52%),,45,26,19(42.22%),,180(x),62(x),118(65.56%),,90(cx),77(cx),13(14.44%),,2.3747329711914062
./benchmark/BIGD/20QBT_45CYC_.1D1_.7D2_7.qasm,405,264,141(34.81%),,45,43,2(4.44%),,90(x),52(x),38(42.22%),,315(cx),212(cx),103(32.70%),,13.223718404769897
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_7.qasm,315,213,102(32.38%),,45,40,5(11.11%),,90(x),48(x),42(46.67%),,225(cx),165(cx),60(26.67%),,6.6228063106536865
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_0.qasm,315,210,105(33.33%),,45,39,6(13.33%),,90(x),54(x),36(40.00%),,225(cx),156(cx),69(30.67%),,8.016154766082764
./benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_4.qasm,540,246,294(54.44%),,45,45,0(-),,360(x),102(x),258(71.67%),,180(cx),144(cx),36(20.00%),,4.1511759757995605
./benchmark/BIGD/20QBT_45CYC_.3D1_.1D2_2.qasm,315,67,248(78.73%),,45,20,25(55.56%),,270(x),38(x),232(85.93%),,45(cx),29(cx),16(35.56%),,1.2691435813903809
./benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_6.qasm,540,223,317(58.70%),,45,40,5(11.11%),,360(x),90(x),270(75.00%),,180(cx),133(cx),47(26.11%),,6.628264665603638
./benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_3.qasm,540,221,319(59.07%),,45,41,4(8.89%),,360(x),98(x),262(72.78%),,180(cx),123(cx),57(31.67%),,3.8644306659698486
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_3.qasm,225,140,85(37.78%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),140(cx),85(37.78%),,12.37810754776001
./benchmark/BIGD/20QBT_45CYC_.2D1_.6D2_6.qasm,450,283,167(37.11%),,45,43,2(4.44%),,180(x),94(x),86(47.78%),,270(cx),189(cx),81(30.00%),,6.532678604125977
./benchmark/BIGD/20QBT_45CYC_.2D1_.6D2_2.qasm,450,263,187(41.56%),,45,42,3(6.67%),,180(x),82(x),98(54.44%),,270(cx),181(cx),89(32.96%),,6.479091644287109
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_5.qasm,135,67,68(50.37%),,45,16,29(64.44%),,90(x),34(x),56(62.22%),,45(cx),33(cx),12(26.67%),,0.7627689838409424
./benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_7.qasm,270,121,149(55.19%),,45,26,19(42.22%),,180(x),44(x),136(75.56%),,90(cx),77(cx),13(14.44%),,3.036714792251587
./benchmark/BIGD/20QBT_45CYC_.7D1_.1D2_1.qasm,675,76,599(88.74%),,45,24,21(46.67%),,630(x),38(x),592(93.97%),,45(cx),38(cx),7(15.56%),,6.055852890014648
./benchmark/BIGD/20QBT_45CYC_.3D1_.2D2_6.qasm,360,117,243(67.50%),,45,25,20(44.44%),,270(x),46(x),224(82.96%),,90(cx),71(cx),19(21.11%),,2.5180041790008545
./benchmark/BIGD/20QBT_45CYC_.1D1_.6D2_6.qasm,360,245,115(31.94%),,45,41,4(8.89%),,90(x),58(x),32(35.56%),,270(cx),187(cx),83(30.74%),,8.381093502044678
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_8.qasm,90,62,28(31.11%),,45,24,21(46.67%),,0(),0(),0(-),,90(cx),62(cx),28(31.11%),,2.6599717140197754
./benchmark/BIGD/20QBT_45CYC_.3D1_.4D2_8.qasm,450,256,194(43.11%),,45,41,4(8.89%),,270(x),110(x),160(59.26%),,180(cx),146(cx),34(18.89%),,6.235021352767944
./benchmark/BIGD/20QBT_45CYC_.3D1_.2D2_1.qasm,360,137,223(61.94%),,45,26,19(42.22%),,270(x),60(x),210(77.78%),,90(cx),77(cx),13(14.44%),,3.2296159267425537
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_4.qasm,135,89,46(34.07%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),89(cx),46(34.07%),,4.975943326950073
./benchmark/BIGD/20QBT_45CYC_.1D1_.6D2_7.qasm,360,239,121(33.61%),,45,42,3(6.67%),,90(x),56(x),34(37.78%),,270(cx),183(cx),87(32.22%),,7.96591329574585
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_0.qasm,90,55,35(38.89%),,45,20,25(55.56%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,2.2499053478240967
./benchmark/BIGD/20QBT_45CYC_.3D1_.5D2_0.qasm,495,274,221(44.65%),,45,47,-2(-4.44%),,270(x),104(x),166(61.48%),,225(cx),170(cx),55(24.44%),,6.55903434753418
./benchmark/BIGD/20QBT_45CYC_.1D1_.6D2_4.qasm,360,228,132(36.67%),,45,40,5(11.11%),,90(x),50(x),40(44.44%),,270(cx),178(cx),92(34.07%),,9.919533252716064
./benchmark/BIGD/20QBT_45CYC_.3D1_.5D2_8.qasm,495,243,252(50.91%),,45,45,0(-),,270(x),90(x),180(66.67%),,225(cx),153(cx),72(32.00%),,6.2859814167022705
./benchmark/BIGD/20QBT_45CYC_.2D1_.3D2_7.qasm,315,168,147(46.67%),,45,31,14(31.11%),,180(x),56(x),124(68.89%),,135(cx),112(cx),23(17.04%),,3.1716034412384033
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_8.qasm,315,185,130(41.27%),,45,39,6(13.33%),,0(),0(),0(-),,315(cx),185(cx),130(41.27%),,17.561670780181885
./benchmark/BIGD/20QBT_45CYC_.4D1_.2D2_1.qasm,450,140,310(68.89%),,45,26,19(42.22%),,360(x),66(x),294(81.67%),,90(cx),74(cx),16(17.78%),,2.446969985961914
./benchmark/BIGD/20QBT_45CYC_.5D1_.3D2_7.qasm,585,187,398(68.03%),,45,38,7(15.56%),,450(x),80(x),370(82.22%),,135(cx),107(cx),28(20.74%),,4.943014144897461
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_4.qasm,180,130,50(27.78%),,45,26,19(42.22%),,90(x),52(x),38(42.22%),,90(cx),78(cx),12(13.33%),,2.4936211109161377
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_9.qasm,135,48,87(64.44%),,45,15,30(66.67%),,0(),0(),0(-),,135(cx),48(cx),87(64.44%),,3.8878543376922607
./benchmark/BIGD/20QBT_45CYC_.2D1_.4D2_4.qasm,360,217,143(39.72%),,45,34,11(24.44%),,180(x),80(x),100(55.56%),,180(cx),137(cx),43(23.89%),,5.044938802719116
./benchmark/BIGD/20QBT_45CYC_.3D1_.3D2_9.qasm,405,200,205(50.62%),,45,34,11(24.44%),,270(x),88(x),182(67.41%),,135(cx),112(cx),23(17.04%),,4.816509008407593
./benchmark/BIGD/20QBT_45CYC_.2D1_.5D2_6.qasm,405,268,137(33.83%),,45,43,2(4.44%),,180(x),98(x),82(45.56%),,225(cx),170(cx),55(24.44%),,6.749999761581421
./benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_3.qasm,270,116,154(57.04%),,45,27,18(40.00%),,180(x),50(x),130(72.22%),,90(cx),66(cx),24(26.67%),,1.7431137561798096
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_8.qasm,270,153,117(43.33%),,45,38,7(15.56%),,0(),0(),0(-),,270(cx),153(cx),117(43.33%),,14.114437341690063
./benchmark/BIGD/20QBT_45CYC_.4D1_.3D2_2.qasm,495,189,306(61.82%),,45,35,10(22.22%),,360(x),78(x),282(78.33%),,135(cx),111(cx),24(17.78%),,3.4203498363494873
./benchmark/BIGD/20QBT_45CYC_.5D1_.3D2_1.qasm,585,195,390(66.67%),,45,32,13(28.89%),,450(x),88(x),362(80.44%),,135(cx),107(cx),28(20.74%),,3.9265522956848145
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_5.qasm,315,223,92(29.21%),,45,37,8(17.78%),,90(x),60(x),30(33.33%),,225(cx),163(cx),62(27.56%),,8.312447309494019
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_7.qasm,135,80,55(40.74%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),80(cx),55(40.74%),,4.687234878540039
./benchmark/BIGD/20QBT_45CYC_.5D1_.3D2_2.qasm,585,188,397(67.86%),,45,35,10(22.22%),,450(x),84(x),366(81.33%),,135(cx),104(cx),31(22.96%),,3.9335131645202637
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_3.qasm,360,200,160(44.44%),,45,42,3(6.67%),,0(),0(),0(-),,360(cx),200(cx),160(44.44%),,23.81283211708069
./benchmark/BIGD/20QBT_45CYC_.7D1_.1D2_2.qasm,675,71,604(89.48%),,45,20,25(55.56%),,630(x),34(x),596(94.60%),,45(cx),37(cx),8(17.78%),,6.2777018547058105
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_4.qasm,225,160,65(28.89%),,45,29,16(35.56%),,90(x),48(x),42(46.67%),,135(cx),112(cx),23(17.04%),,2.338036298751831
./benchmark/BIGD/20QBT_45CYC_.2D1_.4D2_8.qasm,360,206,154(42.78%),,45,36,9(20.00%),,180(x),70(x),110(61.11%),,180(cx),136(cx),44(24.44%),,5.41355299949646
./benchmark/BIGD/20QBT_45CYC_.1D1_.7D2_1.qasm,405,244,161(39.75%),,45,44,1(2.22%),,90(x),58(x),32(35.56%),,315(cx),186(cx),129(40.95%),,11.454227685928345
./benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_5.qasm,270,128,142(52.59%),,45,24,21(46.67%),,180(x),54(x),126(70.00%),,90(cx),74(cx),16(17.78%),,2.2936015129089355
./benchmark/BIGD/20QBT_45CYC_.3D1_.3D2_2.qasm,405,203,202(49.88%),,45,33,12(26.67%),,270(x),92(x),178(65.93%),,135(cx),111(cx),24(17.78%),,3.6159005165100098
./benchmark/BIGD/20QBT_45CYC_.3D1_.4D2_7.qasm,450,233,217(48.22%),,45,39,6(13.33%),,270(x),98(x),172(63.70%),,180(cx),135(cx),45(25.00%),,5.047850847244263
./benchmark/BIGD/20QBT_45CYC_.2D1_.5D2_7.qasm,405,249,156(38.52%),,45,42,3(6.67%),,180(x),84(x),96(53.33%),,225(cx),165(cx),60(26.67%),,6.815487623214722
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_4.qasm,270,168,102(37.78%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),168(cx),102(37.78%),,14.960494756698608
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_3.qasm,135,56,79(58.52%),,45,20,25(55.56%),,90(x),24(x),66(73.33%),,45(cx),32(cx),13(28.89%),,0.6756911277770996
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_5.qasm,90,54,36(40.00%),,45,17,28(62.22%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,3.338968276977539
