Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_6.qasm,270,193,77(28.52%),,45,37,8(17.78%),,90(x),52(x),38(42.22%),,180(cx),141(cx),39(21.67%),,17.521926879882812
./benchmark/BIGD/20QBT_45CYC_.3D1_.1D2_9.qasm,315,72,243(77.14%),,45,19,26(57.78%),,270(x),36(x),234(86.67%),,45(cx),36(cx),9(20.00%),,3.0351433753967285
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_1.qasm,270,183,87(32.22%),,45,39,6(13.33%),,0(),0(),0(100%),,270(cx),183(cx),87(32.22%),,67.91069078445435
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_1.qasm,45,26,19(42.22%),,45,22,23(51.11%),,0(),0(),0(100%),,45(cx),26(cx),19(42.22%),,0.6730060577392578
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_5.qasm,270,161,109(40.37%),,45,36,9(20.00%),,0(),0(),0(100%),,270(cx),161(cx),109(40.37%),,51.75921845436096
./benchmark/BIGD/20QBT_45CYC_.2D1_.6D2_7.qasm,450,287,163(36.22%),,45,43,2(4.44%),,180(x),90(x),90(50.00%),,270(cx),197(cx),73(27.04%),,31.7535879611969
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_3.qasm,90,58,32(35.56%),,45,23,22(48.89%),,0(),0(),0(100%),,90(cx),58(cx),32(35.56%),,8.194944143295288
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_6.qasm,90,55,35(38.89%),,45,17,28(62.22%),,0(),0(),0(100%),,90(cx),55(cx),35(38.89%),,7.768698215484619
./benchmark/BIGD/20QBT_45CYC_.3D1_.2D2_2.qasm,360,132,228(63.33%),,45,22,23(51.11%),,270(x),60(x),210(77.78%),,90(cx),72(cx),18(20.00%),,9.731892347335815
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_0.qasm,135,84,51(37.78%),,45,29,16(35.56%),,0(),0(),0(100%),,135(cx),84(cx),51(37.78%),,21.242586374282837
./benchmark/BIGD/20QBT_45CYC_.7D1_.1D2_0.qasm,675,83,592(87.70%),,45,22,23(51.11%),,630(x),42(x),588(93.33%),,45(cx),41(cx),4(8.89%),,5.782396078109741
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_0.qasm,225,125,100(44.44%),,45,32,13(28.89%),,0(),0(),0(100%),,225(cx),125(cx),100(44.44%),,38.73360252380371
./benchmark/BIGD/20QBT_45CYC_.5D1_.2D2_7.qasm,540,149,391(72.41%),,45,29,16(35.56%),,450(x),68(x),382(84.89%),,90(cx),81(cx),9(10.00%),,7.7055299282073975
./benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_4.qasm,270,141,129(47.78%),,45,26,19(42.22%),,180(x),64(x),116(64.44%),,90(cx),77(cx),13(14.44%),,8.352458000183105
./benchmark/BIGD/20QBT_45CYC_.1D1_.7D2_7.qasm,405,265,140(34.57%),,45,43,2(4.44%),,90(x),52(x),38(42.22%),,315(cx),213(cx),102(32.38%),,45.77894926071167
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_7.qasm,315,213,102(32.38%),,45,40,5(11.11%),,90(x),48(x),42(46.67%),,225(cx),165(cx),60(26.67%),,23.101988554000854
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_0.qasm,315,210,105(33.33%),,45,39,6(13.33%),,90(x),54(x),36(40.00%),,225(cx),156(cx),69(30.67%),,27.761144399642944
./benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_4.qasm,540,246,294(54.44%),,45,45,0(0.00%),,360(x),102(x),258(71.67%),,180(cx),144(cx),36(20.00%),,13.549493551254272
./benchmark/BIGD/20QBT_45CYC_.3D1_.1D2_2.qasm,315,67,248(78.73%),,45,21,24(53.33%),,270(x),38(x),232(85.93%),,45(cx),29(cx),16(35.56%),,3.3690943717956543
./benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_6.qasm,540,221,319(59.07%),,45,39,6(13.33%),,360(x),88(x),272(75.56%),,180(cx),133(cx),47(26.11%),,22.29435896873474
