Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./NAM/gf2^64_mult.qasm,4539,53691,-49152(-1082.88%),,263,1711,-1448(-550.57%),,254(h),"28926(u1,u2)",-28672(-11288.19%),,"4285(ccz,cx)",24765(cx),-20480(-477.95%),,126.37822318077087
./NAM/gf2^128_mult.qasm,17275,213820,-196545(-1137.74%),,517,3437,-2920(-564.80%),,510(h),"115198(u1,u2)",-114688(-22487.84%),,"16765(ccz,cx)",98622(cx),-81857(-488.26%),,993.4586029052734
./NAM/gf2^5_mult.qasm,47,347,-300(-638.30%),,20,111,-91(-455.00%),,18(h),"193(u1,u2)",-175(-972.22%),,"29(ccz,cx)",154(cx),-125(-431.03%),,0.72713303565979
./NAM/barenco_tof_10.qasm,66,450,-384(-581.82%),,65,241,-176(-270.77%),,34(h),"258(u1,u2)",-224(-658.82%),,32(ccz),192(cx),-160(-500.00%),,0.7716660499572754
./NAM/gf2^9_mult.qasm,123,1095,-972(-790.24%),,36,219,-183(-508.33%),,34(h),"601(u1,u2)",-567(-1667.65%),,"89(ccz,cx)",494(cx),-405(-455.06%),,2.3137388229370117
./NAM/tof_4.qasm,15,75,-60(-400.00%),,11,38,-27(-245.45%),,10(h),"45(u1,u2)",-35(-350.00%),,5(ccz),30(cx),-25(-500.00%),,0.07556390762329102
./NAM/csla_mux_3.qasm,50,170,-120(-240.00%),,17,59,-42(-247.06%),,20(h),"90(u1,u2)",-70(-350.00%),,"30(ccz,cx)",80(cx),-50(-166.67%),,0.34725475311279297
./NAM/gf2^16_mult.qasm,363,3435,-3072(-846.28%),,71,415,-344(-484.51%),,62(h),"1854(u1,u2)",-1792(-2890.32%),,"301(ccz,cx)",1581(cx),-1280(-425.25%),,8.074162244796753
./NAM/tof_5.qasm,21,105,-84(-400.00%),,15,53,-38(-253.33%),,14(h),"63(u1,u2)",-49(-350.00%),,7(ccz),42(cx),-35(-500.00%),,0.1209406852722168
