Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_0.qasm,45,23,22(48.89%),,45,15,30(66.67%),,0(),0(),0(-),,45(cx),23(cx),22(48.89%),,0.12517642974853516,27.7421875
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_1.qasm,45,26,19(42.22%),,45,22,23(51.11%),,0(),0(),0(-),,45(cx),26(cx),19(42.22%),,0.20299100875854492,27.3125
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_2.qasm,45,24,21(46.67%),,45,17,28(62.22%),,0(),0(),0(-),,45(cx),24(cx),21(46.67%),,0.2812979221343994,27.90625
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_3.qasm,45,22,23(51.11%),,44,18,26(59.09%),,0(),0(),0(-),,45(cx),22(cx),23(51.11%),,0.07810235023498535,27.4140625
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_4.qasm,45,28,17(37.78%),,45,20,25(55.56%),,0(),0(),0(-),,45(cx),28(cx),17(37.78%),,0.20313119888305664,27.84375
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_5.qasm,45,18,27(60.00%),,45,7,38(84.44%),,0(),0(),0(-),,45(cx),18(cx),27(60.00%),,0.06250882148742676,27.3515625
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_6.qasm,45,19,26(57.78%),,45,13,32(71.11%),,0(),0(),0(-),,45(cx),19(cx),26(57.78%),,0.09375166893005371,27.3515625
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_7.qasm,45,21,24(53.33%),,45,10,35(77.78%),,0(),0(),0(-),,45(cx),21(cx),24(53.33%),,0.15642476081848145,27.4140625
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_8.qasm,45,22,23(51.11%),,45,13,32(71.11%),,0(),0(),0(-),,45(cx),22(cx),23(51.11%),,0.15604209899902344,27.4140625
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_9.qasm,45,13,32(71.11%),,45,8,37(82.22%),,0(),0(),0(-),,45(cx),13(cx),32(71.11%),,0.0625147819519043,27.4140625
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_0.qasm,90,54,36(40.00%),,45,20,25(55.56%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,2.2343556880950928,28.34375
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_1.qasm,90,50,40(44.44%),,45,14,31(68.89%),,0(),0(),0(-),,90(cx),50(cx),40(44.44%),,2.5157432556152344,29.1484375
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_2.qasm,90,60,30(33.33%),,45,21,24(53.33%),,0(),0(),0(-),,90(cx),60(cx),30(33.33%),,3.2033655643463135,28.5625
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_3.qasm,90,52,38(42.22%),,45,14,31(68.89%),,0(),0(),0(-),,90(cx),52(cx),38(42.22%),,3.2345221042633057,28.56640625
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_4.qasm,90,56,34(37.78%),,45,18,27(60.00%),,0(),0(),0(-),,90(cx),56(cx),34(37.78%),,2.937713623046875,29.17578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_5.qasm,90,54,36(40.00%),,45,17,28(62.22%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,3.2814340591430664,28.51171875
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_6.qasm,90,55,35(38.89%),,45,17,28(62.22%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,2.1865134239196777,28.4296875
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_7.qasm,90,55,35(38.89%),,45,23,22(48.89%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,2.172201633453369,28.4609375
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_8.qasm,90,62,28(31.11%),,45,24,21(46.67%),,0(),0(),0(-),,90(cx),62(cx),28(31.11%),,2.625255823135376,28.56640625
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_9.qasm,90,39,51(56.67%),,45,15,30(66.67%),,0(),0(),0(-),,90(cx),39(cx),51(56.67%),,2.1715526580810547,28.62890625
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_0.qasm,135,83,52(38.52%),,45,27,18(40.00%),,0(),0(),0(-),,135(cx),83(cx),52(38.52%),,7.109545707702637,29.0703125
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_1.qasm,135,88,47(34.81%),,45,26,19(42.22%),,0(),0(),0(-),,135(cx),88(cx),47(34.81%),,4.844234466552734,28.65625
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_2.qasm,135,81,54(40.00%),,45,25,20(44.44%),,0(),0(),0(-),,135(cx),81(cx),54(40.00%),,5.937880516052246,28.50390625
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_3.qasm,135,87,48(35.56%),,45,21,24(53.33%),,0(),0(),0(-),,135(cx),87(cx),48(35.56%),,4.905513286590576,29.08984375
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_4.qasm,135,89,46(34.07%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),89(cx),46(34.07%),,4.844363212585449,28.73046875
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_5.qasm,135,78,57(42.22%),,45,21,24(53.33%),,0(),0(),0(-),,135(cx),78(cx),57(42.22%),,6.7027013301849365,29.02734375
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_6.qasm,135,82,53(39.26%),,45,25,20(44.44%),,0(),0(),0(-),,135(cx),82(cx),53(39.26%),,5.703373432159424,28.61328125
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_7.qasm,135,82,53(39.26%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),82(cx),53(39.26%),,4.639752626419067,29.2890625
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_8.qasm,135,81,54(40.00%),,45,25,20(44.44%),,0(),0(),0(-),,135(cx),81(cx),54(40.00%),,6.890644788742065,29.09375
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_9.qasm,135,41,94(69.63%),,45,12,33(73.33%),,0(),0(),0(-),,135(cx),41(cx),94(69.63%),,4.35939621925354,29.1328125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_0.qasm,180,107,73(40.56%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),107(cx),73(40.56%),,7.046910047531128,28.6328125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_1.qasm,180,104,76(42.22%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,8.578058242797852,30.17578125
