Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_0.qasm,45,23,22(48.89%),,45,15,30(66.67%),,0(),0(),0(-),,45(cx),23(cx),22(48.89%),,0.07656431198120117,47.66796875
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_1.qasm,45,26,19(42.22%),,45,22,23(51.11%),,0(),0(),0(-),,45(cx),26(cx),19(42.22%),,0.1383073329925537,47.92578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_2.qasm,45,24,21(46.67%),,45,17,28(62.22%),,0(),0(),0(-),,45(cx),24(cx),21(46.67%),,0.18256068229675293,47.92578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_3.qasm,45,22,23(51.11%),,44,18,26(59.09%),,0(),0(),0(-),,45(cx),22(cx),23(51.11%),,0.05552530288696289,47.92578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_4.qasm,45,28,17(37.78%),,45,20,25(55.56%),,0(),0(),0(-),,45(cx),28(cx),17(37.78%),,0.1295185089111328,47.92578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_5.qasm,45,15,30(66.67%),,45,7,38(84.44%),,0(),0(),0(-),,45(cx),15(cx),30(66.67%),,0.08471989631652832,47.92578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_6.qasm,45,19,26(57.78%),,45,13,32(71.11%),,0(),0(),0(-),,45(cx),19(cx),26(57.78%),,0.07303905487060547,47.92578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_7.qasm,45,21,24(53.33%),,45,10,35(77.78%),,0(),0(),0(-),,45(cx),21(cx),24(53.33%),,0.1112680435180664,48.18359375
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_8.qasm,45,24,21(46.67%),,45,17,28(62.22%),,0(),0(),0(-),,45(cx),24(cx),21(46.67%),,0.08142280578613281,48.18359375
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_9.qasm,45,13,32(71.11%),,45,8,37(82.22%),,0(),0(),0(-),,45(cx),13(cx),32(71.11%),,0.03571319580078125,48.18359375
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_0.qasm,90,55,35(38.89%),,45,20,25(55.56%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,1.5168962478637695,48.16015625
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_1.qasm,90,55,35(38.89%),,45,14,31(68.89%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,1.8637924194335938,48.23828125
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_2.qasm,90,60,30(33.33%),,45,21,24(53.33%),,0(),0(),0(-),,90(cx),60(cx),30(33.33%),,2.1762166023254395,48.40234375
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_3.qasm,90,58,32(35.56%),,45,23,22(48.89%),,0(),0(),0(-),,90(cx),58(cx),32(35.56%),,1.6013374328613281,48.80859375
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_4.qasm,90,57,33(36.67%),,45,18,27(60.00%),,0(),0(),0(-),,90(cx),57(cx),33(36.67%),,2.0607192516326904,48.734375
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_5.qasm,90,54,36(40.00%),,45,17,28(62.22%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,2.258478879928589,48.8984375
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_6.qasm,90,55,35(38.89%),,45,17,28(62.22%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,1.5173702239990234,48.82421875
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_7.qasm,90,52,38(42.22%),,45,21,24(53.33%),,0(),0(),0(-),,90(cx),52(cx),38(42.22%),,1.3980696201324463,48.83984375
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_8.qasm,90,62,28(31.11%),,45,24,21(46.67%),,0(),0(),0(-),,90(cx),62(cx),28(31.11%),,1.7829153537750244,48.87890625
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_9.qasm,90,40,50(55.56%),,45,15,30(66.67%),,0(),0(),0(-),,90(cx),40(cx),50(55.56%),,1.5388391017913818,48.80859375
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_0.qasm,135,84,51(37.78%),,45,29,16(35.56%),,0(),0(),0(-),,135(cx),84(cx),51(37.78%),,4.124606370925903,49.3828125
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_1.qasm,135,88,47(34.81%),,45,23,22(48.89%),,0(),0(),0(-),,135(cx),88(cx),47(34.81%),,3.3643276691436768,49.20703125
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_2.qasm,135,80,55(40.74%),,45,25,20(44.44%),,0(),0(),0(-),,135(cx),80(cx),55(40.74%),,4.035638093948364,48.82421875
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_3.qasm,135,86,49(36.30%),,45,22,23(51.11%),,0(),0(),0(-),,135(cx),86(cx),49(36.30%),,4.1874377727508545,48.80078125
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_4.qasm,135,88,47(34.81%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),88(cx),47(34.81%),,3.339182138442993,48.70703125
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_5.qasm,135,77,58(42.96%),,45,18,27(60.00%),,0(),0(),0(-),,135(cx),77(cx),58(42.96%),,4.530710458755493,48.83984375
