Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/handle_output/vbe_adder_3_before_output.qasm,150,150,9999999,,70,70,0(-),,"80(h,t,tdg)","80(h,t,tdg)",0(-),,70(cx),70(cx),0(-),,0.300347567
./benchmark/handle_output/tof_10_before_output.qasm,255,255,9999999,,128,128,0(-),,"153(h,t,tdg)","153(h,t,tdg)",0(-),,102(cx),102(cx),0(-),,0.370009661
./benchmark/handle_output/gf2^E7_mult_before_output.qasm,741,669,9999999,,188,166,22(11.70%),,"441(h,t,tdg)","369(h,t,tdg)",72(16.33%),,300(cx),300(cx),0(-),,1.416108608
./benchmark/handle_output/qcla_mod_7_before_output.qasm,884,884,9999999,,172,172,0(-),,"502(x,h,t,tdg)","502(x,h,t,tdg)",0(-),,382(cx),382(cx),0(-),,1.805785894
./benchmark/handle_output/gf2^E32_mult_before_output.qasm,15515,13593,9999999,,971,862,109(11.23%),,"9216(h,t,tdg)","7294(h,t,tdg)",1922(20.86%),,6299(cx),6299(cx),0(-),,34.64318943
./benchmark/handle_output/qcla_com_7_before_output.qasm,443,443,9999999,,70,70,0(-),,"257(x,h,t,tdg)","257(x,h,t,tdg)",0(-),,186(cx),186(cx),0(-),,0.892146111
./benchmark/handle_output/barenco_tof_3_before_output.qasm,58,58,9999999,,31,31,0(-),,"34(h,t,tdg)","34(h,t,tdg)",0(-),,24(cx),24(cx),0(-),,0.051692247
./benchmark/handle_output/csla_mux_3_before_original_output.qasm,170,170,9999999,,59,59,0(-),,"90(h,t,tdg)","90(h,t,tdg)",0(-),,80(cx),80(cx),0(-),,0.366702318
./benchmark/handle_output/csum_mux_9_before_corrected_output.qasm,56,28,9999999,,11,6,5(45.45%),,28(x),0(),28(100.00%),,28(cx),28(cx),0(-),,0.172233343
./benchmark/handle_output/gf2^E16_mult_before_output.qasm,3885,3435,9999999,,473,416,57(12.05%),,"2304(h,t,tdg)","1854(h,t,tdg)",450(19.53%),,1581(cx),1581(cx),0(-),,8.473124504
./benchmark/handle_output/gf2^E5_mult_before_output.qasm,379,347,9999999,,125,111,14(11.20%),,"225(h,t,tdg)","193(h,t,tdg)",32(14.22%),,154(cx),154(cx),0(-),,0.700617313
./benchmark/handle_output/barenco_tof_4_before_output.qasm,114,114,9999999,,61,61,0(-),,"66(h,t,tdg)","66(h,t,tdg)",0(-),,48(cx),48(cx),0(-),,0.160147667
./benchmark/handle_output/mod_adder_1024_before_output.qasm,4285,4285,9999999,,2218,2218,0(-),,"2565(h,t,tdg)","2565(h,t,tdg)",0(-),,1720(cx),1720(cx),0(-),,7.073724031
./benchmark/handle_output/qcla_adder_10_before_output.qasm,521,521,9999999,,64,64,0(-),,"288(h,t,tdg)","288(h,t,tdg)",0(-),,233(cx),233(cx),0(-),,1.147310734
./benchmark/handle_output/barenco_tof_10_before_output.qasm,450,450,9999999,,241,241,0(-),,"258(h,t,tdg)","258(h,t,tdg)",0(-),,192(cx),192(cx),0(-),,0.81406641
