Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./handle_surface/vbe_adder_3_before_output.qasm,450,282,168(37.33%),,194,129,65(33.51%),,"380(ry,x,rx,y)","212(ry,x,rx,y)",168(44.21%),,70(cz),70(cz),0(-),,5.545074224472046
./handle_surface/tof_10_before_output.qasm,765,471,294(38.43%),,344,231,113(32.85%),,"663(ry,x,rx,y)","369(ry,x,rx,y)",294(44.34%),,102(cz),102(cz),0(-),,8.700658321380615
./handle_surface/gf2^7_mult_before_output.qasm,2007,1135,872(43.45%),,458,291,167(36.46%),,"1707(ry,x,rx,y)","835(ry,x,rx,y)",872(51.08%),,300(cz),300(cz),0(-),,33.382819175720215
./handle_surface/qcla_mod_7_before_output.qasm,2638,1587,1051(39.84%),,487,300,187(38.40%),,"2256(ry,x,rx,y)","1205(ry,x,rx,y)",1051(46.59%),,382(cz),382(cz),0(-),,40.077686071395874
./handle_surface/gf2^32_mult_before_output.qasm,40779,22648,18131(44.46%),,2335,1495,840(35.97%),,"34480(ry,x,rx,y)","16349(ry,x,rx,y)",18131(52.58%),,6299(cz),6299(cz),0(-),,832.3948636054993
./handle_surface/qcla_com_7_before_output.qasm,1299,777,522(40.18%),,192,118,74(38.54%),,"1113(ry,x,rx,y)","591(ry,x,rx,y)",522(46.90%),,186(cz),186(cz),0(-),,19.512640476226807
./handle_surface/barenco_tof_3_before_output.qasm,174,103,71(40.80%),,86,58,28(32.56%),,"150(ry,x,rx,y)","79(ry,x,rx,y)",71(47.33%),,24(cz),24(cz),0(-),,1.7367713451385498
./handle_surface/csla_mux_3_before_original_output.qasm,510,323,187(36.67%),,166,107,59(35.54%),,"430(ry,x,rx,y)","243(ry,x,rx,y)",187(43.49%),,80(cz),80(cz),0(-),,5.414503812789917
./handle_surface/csum_mux_9_before_corrected_output.qasm,1264,767,497(39.32%),,167,101,66(39.52%),,"1096(ry,x,rx,y)","599(ry,x,rx,y)",497(45.35%),,168(cz),168(cz),0(-),,14.289164304733276
./handle_surface/gf2^16_mult_before_output.qasm,10305,5790,4515(43.81%),,1133,728,405(35.75%),,"8724(ry,x,rx,y)","4209(ry,x,rx,y)",4515(51.75%),,1581(cz),1581(cz),0(-),,186.5634424686432
./handle_surface/gf2^5_mult_before_output.qasm,1041,606,435(41.79%),,310,187,123(39.68%),,"887(ry,x,rx,y)","452(ry,x,rx,y)",435(49.04%),,154(cz),154(cz),0(-),,16.752787351608276
./handle_surface/barenco_tof_4_before_output.qasm,342,202,140(40.94%),,166,110,56(33.73%),,"294(ry,x,rx,y)","154(ry,x,rx,y)",140(47.62%),,48(cz),48(cz),0(-),,3.977564573287964
./handle_surface/mod_adder_1024_before_output.qasm,12543,7327,5216(41.58%),,7243,4384,2859(39.47%),,"10823(ry,x,rx,y)","5607(ry,x,rx,y)",5216(48.19%),,1720(cz),1720(cz),0(-),,164.52458786964417
./handle_surface/qcla_adder_10_before_output.qasm,1563,966,597(38.20%),,182,122,60(32.97%),,"1330(ry,x,rx,y)","733(ry,x,rx,y)",597(44.89%),,233(cz),233(cz),0(-),,19.484644889831543
./handle_surface/barenco_tof_10_before_output.qasm,1350,797,553(40.96%),,646,429,217(33.59%),,"1158(ry,x,rx,y)","605(ry,x,rx,y)",553(47.75%),,192(cz),192(cz),0(-),,17.35287833213806
./handle_surface/rc_adder_6_before_output.qasm,578,371,207(35.81%),,293,182,111(37.88%),,"487(ry,x,rx,y)","280(ry,x,rx,y)",207(42.51%),,91(cz),91(cz),0(-),,5.948505640029907
./handle_surface/gf2^9_mult_before_output.qasm,3285,1847,1438(43.77%),,606,374,232(38.28%),,"2791(ry,x,rx,y)","1353(ry,x,rx,y)",1438(51.52%),,494(cz),494(cz),0(-),,56.598373889923096
./handle_surface/gf2^4_mult_before_output.qasm,675,379,296(43.85%),,236,142,94(39.83%),,"576(ry,x,rx,y)","280(ry,x,rx,y)",296(51.39%),,99(cz),99(cz),0(-),,10.329660177230835
./handle_surface/barenco_tof_5_before_output.qasm,510,292,218(42.75%),,246,160,86(34.96%),,"438(ry,x,rx,y)","220(ry,x,rx,y)",218(49.77%),,72(cz),72(cz),0(-),,6.117892265319824
./handle_surface/mod_red_21_before_output.qasm,778,458,320(41.13%),,431,260,171(39.68%),,"673(ry,x,rx,y)","353(ry,x,rx,y)",320(47.55%),,105(cz),105(cz),0(-),,8.612086534500122
./handle_surface/mod5_4_before_output.qasm,187,118,69(36.90%),,97,66,31(31.96%),,"159(ry,x,rx,y)","90(ry,x,rx,y)",69(43.40%),,28(cz),28(cz),0(-),,1.9142332077026367
./handle_surface/mod_mult_55_before_output.qasm,341,210,131(38.42%),,118,77,41(34.75%),,"293(ry,x,rx,y)","162(ry,x,rx,y)",131(44.71%),,48(cz),48(cz),0(-),,3.4037506580352783
./handle_surface/adder_8_before_output.qasm,2622,1669,953(36.35%),,521,330,191(36.66%),,"2231(ry,x,rx,y)","1278(ry,x,rx,y)",953(42.72%),,391(cz),391(cz),0(-),,32.804487466812134
