Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./handle_surface/vbe_adder_3_before_output.qasm,450,346,104(23.11%),,194,142,52(26.80%),,"380(rx,y,x,ry)","276(rx,y,x,ry)",104(27.37%),,70(cz),70(cz),0(-),,1.5551846027374268
./handle_surface/tof_10_before_output.qasm,765,594,171(22.35%),,344,265,79(22.97%),,"663(rx,y,x,ry)","492(rx,y,x,ry)",171(25.79%),,102(cz),102(cz),0(-),,3.38891863822937
./handle_surface/gf2^7_mult_before_output.qasm,2007,1546,461(22.97%),,458,336,122(26.64%),,"1707(rx,y,x,ry)","1246(rx,y,x,ry)",461(27.01%),,300(cz),300(cz),0(-),,7.468953609466553
./handle_surface/qcla_mod_7_before_output.qasm,2638,2052,586(22.21%),,487,352,135(27.72%),,"2256(rx,y,x,ry)","1670(rx,y,x,ry)",586(25.98%),,382(cz),382(cz),0(-),,12.424350023269653
./handle_surface/gf2^32_mult_before_output.qasm,40779,31260,9519(23.34%),,2335,1740,595(25.48%),,"34480(rx,y,x,ry)","24961(rx,y,x,ry)",9519(27.61%),,6299(cz),6299(cz),0(-),,214.0808391571045
./handle_surface/qcla_com_7_before_output.qasm,1299,1014,285(21.94%),,192,139,53(27.60%),,"1113(rx,y,x,ry)","828(rx,y,x,ry)",285(25.61%),,186(cz),186(cz),0(-),,6.115151643753052
./handle_surface/barenco_tof_3_before_output.qasm,174,133,41(23.56%),,86,64,22(25.58%),,"150(rx,y,x,ry)","109(rx,y,x,ry)",41(27.33%),,24(cz),24(cz),0(-),,0.5333869457244873
./handle_surface/csla_mux_3_before_original_output.qasm,510,398,112(21.96%),,166,121,45(27.11%),,"430(rx,y,x,ry)","318(rx,y,x,ry)",112(26.05%),,80(cz),80(cz),0(-),,2.2677485942840576
./handle_surface/csum_mux_9_before_corrected_output.qasm,1264,959,305(24.13%),,167,121,46(27.54%),,"1096(rx,y,x,ry)","791(rx,y,x,ry)",305(27.83%),,168(cz),168(cz),0(-),,4.1325600147247314
