Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./nam_surf/qcla_adder_10_output.qasm,1155,957,198(17.14%),,136,111,25(18.38%),,"990(x,rx,y,ry)","792(x,rx,y,ry)",198(20.00%),,165(cz),165(cz),0(0.00%),,26.375777006149292
./nam_surf/mod5_4_output.qasm,118,89,29(24.58%),,61,49,12(19.67%),,"101(x,rx,y,ry)","72(x,rx,y,ry)",29(28.71%),,17(cz),17(cz),0(0.00%),,1.800363302230835
./nam_surf/barenco_tof_10_output.qasm,966,786,180(18.63%),,483,402,81(16.77%),,"838(x,rx,y,ry)","658(x,rx,y,ry)",180(21.48%),,128(cz),128(cz),0(0.00%),,12.845905542373657
./nam_surf/tof_4_output.qasm,165,134,31(18.79%),,81,67,14(17.28%),,"145(x,rx,y,ry)","114(x,rx,y,ry)",31(21.38%),,20(cz),20(cz),0(0.00%),,1.7963643074035645
./nam_surf/gf2^8_mult_output.qasm,1881,1516,365(19.40%),,409,335,74(18.09%),,"1604(x,rx,y,ry)","1239(x,rx,y,ry)",365(22.76%),,277(cz),277(cz),0(0.00%),,37.754127979278564
./nam_surf/gf2^4_mult_output.qasm,483,388,95(19.67%),,178,145,33(18.54%),,"416(x,rx,y,ry)","321(x,rx,y,ry)",95(22.84%),,67(cz),67(cz),0(0.00%),,6.579675674438477
./nam_surf/gf2^7_mult_output.qasm,1419,1153,266(18.75%),,340,280,60(17.65%),,"1217(x,rx,y,ry)","951(x,rx,y,ry)",266(21.86%),,202(cz),202(cz),0(0.00%),,20.758432626724243
./nam_surf/mod_red_21_output.qasm,572,463,109(19.06%),,292,238,54(18.49%),,"501(x,rx,y,ry)","392(x,rx,y,ry)",109(21.76%),,71(cz),71(cz),0(0.00%),,6.919222593307495
./nam_surf/mod_mult_55_output.qasm,257,211,46(17.90%),,96,80,16(16.67%),,"223(x,rx,y,ry)","177(x,rx,y,ry)",46(20.63%),,34(cz),34(cz),0(0.00%),,2.8538265228271484
./nam_surf/barenco_tof_5_output.qasm,366,296,70(19.13%),,183,152,31(16.94%),,"318(x,rx,y,ry)","248(x,rx,y,ry)",70(22.01%),,48(cz),48(cz),0(0.00%),,4.691352605819702
./nam_surf/rc_adder_6_output.qasm,452,361,91(20.13%),,209,166,43(20.57%),,"381(x,rx,y,ry)","290(x,rx,y,ry)",91(23.88%),,71(cz),71(cz),0(0.00%),,7.1488916873931885
./nam_surf/gf2^5_mult_output.qasm,741,601,140(18.89%),,229,187,42(18.34%),,"637(x,rx,y,ry)","497(x,rx,y,ry)",140(21.98%),,104(cz),104(cz),0(0.00%),,10.427819013595581
./nam_surf/tof_5_output.qasm,231,188,43(18.61%),,111,92,19(17.12%),,"203(x,rx,y,ry)","160(x,rx,y,ry)",43(21.18%),,28(cz),28(cz),0(0.00%),,2.6397907733917236
./nam_surf/vbe_adder_3_output.qasm,330,266,64(19.39%),,138,113,25(18.12%),,"280(x,rx,y,ry)","216(x,rx,y,ry)",64(22.86%),,50(cz),50(cz),0(0.00%),,4.311290264129639
./nam_surf/adder_8_output.qasm,1992,1623,369(18.52%),,388,315,73(18.81%),,"1697(x,rx,y,ry)","1328(x,rx,y,ry)",369(21.74%),,295(cz),295(cz),0(0.00%),,35.158557176589966
./nam_surf/tof_10_output.qasm,561,458,103(18.36%),,261,217,44(16.86%),,"493(x,rx,y,ry)","390(x,rx,y,ry)",103(20.89%),,68(cz),68(cz),0(0.00%),,6.774356365203857
./nam_surf/qcla_mod_7_output.qasm,1930,1570,360(18.65%),,352,284,68(19.32%),,"1666(x,rx,y,ry)","1306(x,rx,y,ry)",360(21.61%),,264(cz),264(cz),0(0.00%),,34.53634858131409
./nam_surf/tof_3_output.qasm,99,80,19(19.19%),,51,42,9(17.65%),,"87(x,rx,y,ry)","68(x,rx,y,ry)",19(21.84%),,12(cz),12(cz),0(0.00%),,0.9888668060302734
./nam_surf/csla_mux_3_output.qasm,390,315,75(19.23%),,132,107,25(18.94%),,"330(x,rx,y,ry)","255(x,rx,y,ry)",75(22.73%),,60(cz),60(cz),0(0.00%),,6.311002731323242
./nam_surf/gf2^131_mult_output.qasm,466863,379766,87097(18.66%),,7076,5902,1174(16.59%),,"397569(x,rx,y,ry)","310472(x,rx,y,ry)",87097(21.91%),,69294(cz),69294(cz),0(0.00%),,12879.070739507675
./nam_surf/csum_mux_9_output.qasm,868,721,147(16.94%),,116,96,20(17.24%),,"756(x,rx,y,ry)","609(x,rx,y,ry)",147(19.44%),,112(cz),112(cz),0(0.00%),,16.084247827529907
./nam_surf/qcla_com_7_output.qasm,951,778,173(18.19%),,142,115,27(19.01%),,"823(x,rx,y,ry)","650(x,rx,y,ry)",173(21.02%),,128(cz),128(cz),0(0.00%),,16.827754259109497
./nam_surf/gf2^10_mult_output.qasm,2841,2316,525(18.48%),,499,412,87(17.43%),,"2432(x,rx,y,ry)","1907(x,rx,y,ry)",525(21.59%),,409(cz),409(cz),0(0.00%),,42.476773738861084
./nam_surf/gf2^9_mult_output.qasm,2313,1885,428(18.50%),,445,367,78(17.53%),,"1981(rx,y,x,ry)","1553(rx,y,x,ry)",428(21.61%),,332(cz),332(cz),0(0.00%),,33.80939531326294
./nam_surf/gf2^32_mult_output.qasm,28491,23069,5422(19.03%),,1730,1447,283(16.36%),,"24240(rx,y,x,ry)","18818(rx,y,x,ry)",5422(22.37%),,4251(cz),4251(cz),0(0.00%),,435.8977861404419
./nam_surf/gf2^6_mult_output.qasm,1053,854,199(18.90%),,286,235,51(17.83%),,"904(rx,y,x,ry)","705(rx,y,x,ry)",199(22.01%),,149(cz),149(cz),0(0.00%),,14.919576644897461
./nam_surf/barenco_tof_4_output.qasm,246,198,48(19.51%),,123,102,21(17.07%),,"214(rx,y,x,ry)","166(rx,y,x,ry)",48(22.43%),,32(cz),32(cz),0(0.00%),,2.9998152256011963
./nam_surf/gf2^64_mult_output.qasm,111921,91065,20856(18.63%),,3427,2856,571(16.66%),,"95348(rx,y,x,ry)","74492(rx,y,x,ry)",20856(21.87%),,16573(cz),16573(cz),0(0.00%),,1809.105320930481
./nam_surf/barenco_tof_3_output.qasm,126,101,25(19.84%),,63,52,11(17.46%),,"110(rx,y,x,ry)","85(rx,y,x,ry)",25(22.73%),,16(cz),16(cz),0(0.00%),,1.4672343730926514
./nam_surf/gf2^128_mult_output.qasm,444855,362429,82426(18.53%),,6899,5750,1149(16.65%),,"379000(rx,y,x,ry)","296574(rx,y,x,ry)",82426(21.75%),,65855(cz),65855(cz),0(0.00%),,9316.197446346283
./nam_surf/gf2^16_mult_output.qasm,7233,5865,1368(18.91%),,845,699,146(17.28%),,"6164(rx,y,x,ry)","4796(rx,y,x,ry)",1368(22.19%),,1069(cz),1069(cz),0(0.00%),,110.12348580360413
./nam_surf/mod_adder_1024_output.qasm,9435,7403,2032(21.54%),,4876,3775,1101(22.58%),,"8285(rx,y,x,ry)","6253(rx,y,x,ry)",2032(24.53%),,1150(cz),1150(cz),0(0.00%),,118.29414081573486
./nam_surf/gf2^163_mult_output.qasm,720531,587034,133497(18.53%),,8776,7310,1466(16.70%),,"613849(rx,y,x,ry)","480352(rx,y,x,ry)",133497(21.75%),,106682(cz),106682(cz),0(0.00%),,17439.8103017807
