Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_0.qasm,45,23,22(48.89%),,45,15,30(66.67%),,0(),0(),0(-),,45(cx),23(cx),22(48.89%),,0.08030414581298828,47.78125
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_1.qasm,45,26,19(42.22%),,45,22,23(51.11%),,0(),0(),0(-),,45(cx),26(cx),19(42.22%),,0.14454078674316406,48.0390625
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_2.qasm,45,22,23(51.11%),,45,15,30(66.67%),,0(),0(),0(-),,45(cx),22(cx),23(51.11%),,0.21698784828186035,48.0390625
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_3.qasm,45,22,23(51.11%),,44,18,26(59.09%),,0(),0(),0(-),,45(cx),22(cx),23(51.11%),,0.05803179740905762,48.0390625
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_4.qasm,45,28,17(37.78%),,45,20,25(55.56%),,0(),0(),0(-),,45(cx),28(cx),17(37.78%),,0.1399087905883789,48.0390625
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_5.qasm,45,15,30(66.67%),,45,7,38(84.44%),,0(),0(),0(-),,45(cx),15(cx),30(66.67%),,0.08852863311767578,48.0390625
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_6.qasm,45,19,26(57.78%),,45,13,32(71.11%),,0(),0(),0(-),,45(cx),19(cx),26(57.78%),,0.07587623596191406,48.296875
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_7.qasm,45,21,24(53.33%),,45,10,35(77.78%),,0(),0(),0(-),,45(cx),21(cx),24(53.33%),,0.11631894111633301,48.296875
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_8.qasm,45,22,23(51.11%),,45,13,32(71.11%),,0(),0(),0(-),,45(cx),22(cx),23(51.11%),,0.10811352729797363,48.296875
./benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_9.qasm,45,13,32(71.11%),,45,8,37(82.22%),,0(),0(),0(-),,45(cx),13(cx),32(71.11%),,0.03733944892883301,48.296875
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_0.qasm,90,54,36(40.00%),,45,20,25(55.56%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,1.6167309284210205,48.1875
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_1.qasm,90,50,40(44.44%),,45,14,31(68.89%),,0(),0(),0(-),,90(cx),50(cx),40(44.44%),,1.8326427936553955,48.81640625
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_2.qasm,90,59,31(34.44%),,45,21,24(53.33%),,0(),0(),0(-),,90(cx),59(cx),31(34.44%),,2.305129051208496,48.7890625
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_3.qasm,90,54,36(40.00%),,45,14,31(68.89%),,0(),0(),0(-),,90(cx),54(cx),36(40.00%),,2.501739978790283,48.71484375
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_4.qasm,90,55,35(38.89%),,45,18,27(60.00%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,2.095334768295288,48.72265625
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_5.qasm,90,58,32(35.56%),,45,20,25(55.56%),,0(),0(),0(-),,90(cx),58(cx),32(35.56%),,1.5890297889709473,48.70703125
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_6.qasm,90,55,35(38.89%),,45,17,28(62.22%),,0(),0(),0(-),,90(cx),55(cx),35(38.89%),,1.5882487297058105,48.71875
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_7.qasm,90,53,37(41.11%),,45,21,24(53.33%),,0(),0(),0(-),,90(cx),53(cx),37(41.11%),,1.5406126976013184,48.84765625
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_8.qasm,90,63,27(30.00%),,45,24,21(46.67%),,0(),0(),0(-),,90(cx),63(cx),27(30.00%),,1.9148380756378174,48.62890625
./benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_9.qasm,90,43,47(52.22%),,45,15,30(66.67%),,0(),0(),0(-),,90(cx),43(cx),47(52.22%),,1.489832878112793,48.98046875
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_0.qasm,135,84,51(37.78%),,45,29,16(35.56%),,0(),0(),0(-),,135(cx),84(cx),51(37.78%),,4.380727052688599,49.58984375
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_1.qasm,135,87,48(35.56%),,45,22,23(51.11%),,0(),0(),0(-),,135(cx),87(cx),48(35.56%),,3.664262294769287,49.58984375
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_2.qasm,135,80,55(40.74%),,45,26,19(42.22%),,0(),0(),0(-),,135(cx),80(cx),55(40.74%),,4.291139602661133,49.546875
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_3.qasm,135,86,49(36.30%),,45,22,23(51.11%),,0(),0(),0(-),,135(cx),86(cx),49(36.30%),,4.383018255233765,49.515625
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_4.qasm,135,86,49(36.30%),,45,23,22(48.89%),,0(),0(),0(-),,135(cx),86(cx),49(36.30%),,3.467559576034546,49.515625
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_5.qasm,135,76,59(43.70%),,45,18,27(60.00%),,0(),0(),0(-),,135(cx),76(cx),59(43.70%),,4.958047151565552,49.47265625
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_6.qasm,135,82,53(39.26%),,45,25,20(44.44%),,0(),0(),0(-),,135(cx),82(cx),53(39.26%),,4.181560277938843,49.45703125
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_7.qasm,135,80,55(40.74%),,45,25,20(44.44%),,0(),0(),0(-),,135(cx),80(cx),55(40.74%),,4.0877485275268555,49.54296875
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_8.qasm,135,82,53(39.26%),,45,23,22(48.89%),,0(),0(),0(-),,135(cx),82(cx),53(39.26%),,5.155005693435669,49.45703125
./benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_9.qasm,135,43,92(68.15%),,45,13,32(71.11%),,0(),0(),0(-),,135(cx),43(cx),92(68.15%),,3.072866678237915,49.6640625
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_0.qasm,180,107,73(40.56%),,45,25,20(44.44%),,0(),0(),0(-),,180(cx),107(cx),73(40.56%),,5.162534713745117,49.19921875
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_1.qasm,180,104,76(42.22%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),104(cx),76(42.22%),,6.339428186416626,49.88671875
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_2.qasm,180,93,87(48.33%),,45,24,21(46.67%),,0(),0(),0(-),,180(cx),93(cx),87(48.33%),,5.834229230880737,50.01171875
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_3.qasm,180,94,86(47.78%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),94(cx),86(47.78%),,6.952779293060303,49.85546875
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_4.qasm,180,114,66(36.67%),,45,31,14(31.11%),,0(),0(),0(-),,180(cx),114(cx),66(36.67%),,7.984753131866455,49.94140625
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_5.qasm,180,112,68(37.78%),,45,27,18(40.00%),,0(),0(),0(-),,180(cx),112(cx),68(37.78%),,5.12988805770874,50.03515625
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_6.qasm,180,98,82(45.56%),,45,29,16(35.56%),,0(),0(),0(-),,180(cx),98(cx),82(45.56%),,7.238429069519043,50.08203125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_7.qasm,180,118,62(34.44%),,45,33,12(26.67%),,0(),0(),0(-),,180(cx),118(cx),62(34.44%),,6.746938228607178,50.0078125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_8.qasm,180,128,52(28.89%),,45,34,11(24.44%),,0(),0(),0(-),,180(cx),128(cx),52(28.89%),,5.635075807571411,50.05078125
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_9.qasm,180,106,74(41.11%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),106(cx),74(41.11%),,6.301986932754517,50.046875
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_0.qasm,225,125,100(44.44%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),125(cx),100(44.44%),,9.587880611419678,50.61328125
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_1.qasm,225,122,103(45.78%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,6.334132432937622,50.6328125
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_2.qasm,225,122,103(45.78%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,9.409583568572998,50.53515625
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_3.qasm,225,143,82(36.44%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),143(cx),82(36.44%),,8.963312149047852,50.5390625
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_4.qasm,225,147,78(34.67%),,45,38,7(15.56%),,0(),0(),0(-),,225(cx),147(cx),78(34.67%),,9.0247962474823,50.859375
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_5.qasm,225,128,97(43.11%),,45,28,17(37.78%),,0(),0(),0(-),,225(cx),128(cx),97(43.11%),,7.976223468780518,50.85546875
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_6.qasm,225,141,84(37.33%),,45,37,8(17.78%),,0(),0(),0(-),,225(cx),141(cx),84(37.33%),,8.65974736213684,50.88671875
