Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_0.qasm,45,27,18(40.00%),,45,24,21(46.67%),,0(),0(),0(-),,45(cx),27(cx),18(40.00%),,0.7103197574615479,13.56640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_1.qasm,45,34,11(24.44%),,45,33,12(26.67%),,0(),0(),0(-),,45(cx),34(cx),11(24.44%),,0.9885437488555908,13.56640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_2.qasm,45,37,8(17.78%),,45,37,8(17.78%),,0(),0(),0(-),,45(cx),37(cx),8(17.78%),,1.6859405040740967,13.56640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_3.qasm,45,23,22(48.89%),,44,21,23(52.27%),,0(),0(),0(-),,45(cx),23(cx),22(48.89%),,1.5869731903076172,13.56640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_4.qasm,45,35,10(22.22%),,45,30,15(33.33%),,0(),0(),0(-),,45(cx),35(cx),10(22.22%),,1.79768705368042,13.56640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_5.qasm,45,29,16(35.56%),,45,26,19(42.22%),,0(),0(),0(-),,45(cx),29(cx),16(35.56%),,2.0909082889556885,13.56640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_6.qasm,45,25,20(44.44%),,45,21,24(53.33%),,0(),0(),0(-),,45(cx),25(cx),20(44.44%),,1.8054907321929932,13.56640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_7.qasm,45,28,17(37.78%),,45,13,32(71.11%),,0(),0(),0(-),,45(cx),28(cx),17(37.78%),,2.1703243255615234,13.56640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_8.qasm,45,32,13(28.89%),,45,32,13(28.89%),,0(),0(),0(-),,45(cx),32(cx),13(28.89%),,2.1511096954345703,13.56640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_9.qasm,45,21,24(53.33%),,45,18,27(60.00%),,0(),0(),0(-),,45(cx),21(cx),24(53.33%),,2.214672565460205,13.56640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_0.qasm,90,73,17(18.89%),,45,29,16(35.56%),,0(),0(),0(-),,90(cx),73(cx),17(18.89%),,6.44770359992981,13.82421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_1.qasm,90,60,30(33.33%),,45,19,26(57.78%),,0(),0(),0(-),,90(cx),60(cx),30(33.33%),,5.478018283843994,13.82421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_2.qasm,90,70,20(22.22%),,45,26,19(42.22%),,0(),0(),0(-),,90(cx),70(cx),20(22.22%),,6.431018352508545,13.82421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_3.qasm,90,70,20(22.22%),,45,26,19(42.22%),,0(),0(),0(-),,90(cx),70(cx),20(22.22%),,6.3625030517578125,13.82421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_4.qasm,90,68,22(24.44%),,45,23,22(48.89%),,0(),0(),0(-),,90(cx),68(cx),22(24.44%),,6.220615386962891,13.82421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_5.qasm,90,65,25(27.78%),,45,27,18(40.00%),,0(),0(),0(-),,90(cx),65(cx),25(27.78%),,5.936844348907471,13.82421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_6.qasm,90,65,25(27.78%),,45,23,22(48.89%),,0(),0(),0(-),,90(cx),65(cx),25(27.78%),,5.862529993057251,13.82421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_7.qasm,90,64,26(28.89%),,45,29,16(35.56%),,0(),0(),0(-),,90(cx),64(cx),26(28.89%),,5.525251865386963,13.82421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_8.qasm,90,72,18(20.00%),,45,34,11(24.44%),,0(),0(),0(-),,90(cx),72(cx),18(20.00%),,5.91607403755188,13.82421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_9.qasm,90,66,24(26.67%),,45,27,18(40.00%),,0(),0(),0(-),,90(cx),66(cx),24(26.67%),,5.95598292350769,13.82421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_0.qasm,135,99,36(26.67%),,45,34,11(24.44%),,0(),0(),0(-),,135(cx),99(cx),36(26.67%),,9.830060720443726,14.08203125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_1.qasm,135,99,36(26.67%),,45,27,18(40.00%),,0(),0(),0(-),,135(cx),99(cx),36(26.67%),,9.870251893997192,14.08203125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_2.qasm,135,111,24(17.78%),,45,31,14(31.11%),,0(),0(),0(-),,135(cx),111(cx),24(17.78%),,10.2652747631073,14.08203125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_3.qasm,135,103,32(23.70%),,45,30,15(33.33%),,0(),0(),0(-),,135(cx),103(cx),32(23.70%),,10.494235277175903,14.08203125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_4.qasm,135,104,31(22.96%),,45,31,14(31.11%),,0(),0(),0(-),,135(cx),104(cx),31(22.96%),,9.4963538646698,14.08203125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_5.qasm,135,107,28(20.74%),,45,27,18(40.00%),,0(),0(),0(-),,135(cx),107(cx),28(20.74%),,10.175214529037476,14.08203125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_6.qasm,135,103,32(23.70%),,45,28,17(37.78%),,0(),0(),0(-),,135(cx),103(cx),32(23.70%),,10.824095249176025,14.08203125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_7.qasm,135,101,34(25.19%),,45,28,17(37.78%),,0(),0(),0(-),,135(cx),101(cx),34(25.19%),,9.934137344360352,14.08203125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_8.qasm,135,100,35(25.93%),,45,32,13(28.89%),,0(),0(),0(-),,135(cx),100(cx),35(25.93%),,9.913560390472412,14.08203125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.3D2_9.qasm,135,91,44(32.59%),,45,24,21(46.67%),,0(),0(),0(-),,135(cx),91(cx),44(32.59%),,9.163488149642944,14.08203125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_0.qasm,180,140,40(22.22%),,45,34,11(24.44%),,0(),0(),0(-),,180(cx),140(cx),40(22.22%),,15.171223402023315,14.22265625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_1.qasm,180,125,55(30.56%),,45,32,13(28.89%),,0(),0(),0(-),,180(cx),125(cx),55(30.56%),,14.640675783157349,14.33984375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_2.qasm,180,128,52(28.89%),,45,36,9(20.00%),,0(),0(),0(-),,180(cx),128(cx),52(28.89%),,14.875714778900146,14.33984375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_3.qasm,180,138,42(23.33%),,45,39,6(13.33%),,0(),0(),0(-),,180(cx),138(cx),42(23.33%),,15.138375282287598,14.33984375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_4.qasm,180,143,37(20.56%),,45,38,7(15.56%),,0(),0(),0(-),,180(cx),143(cx),37(20.56%),,16.646607160568237,14.33984375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_5.qasm,180,136,44(24.44%),,45,32,13(28.89%),,0(),0(),0(-),,180(cx),136(cx),44(24.44%),,16.388508319854736,14.33984375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_6.qasm,180,137,43(23.89%),,45,36,9(20.00%),,0(),0(),0(-),,180(cx),137(cx),43(23.89%),,14.283915042877197,14.33984375
