Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_0.qasm,45,27,18(40.00%),,45,24,21(46.67%),,0(),0(),0(-),,45(cx),27(cx),18(40.00%),,5.26559042930603,15.171875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_1.qasm,45,32,13(28.89%),,45,31,14(31.11%),,0(),0(),0(-),,45(cx),32(cx),13(28.89%),,6.064393520355225,15.30859375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_2.qasm,45,37,8(17.78%),,45,37,8(17.78%),,0(),0(),0(-),,45(cx),37(cx),8(17.78%),,7.249852895736694,15.3671875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_3.qasm,45,23,22(48.89%),,44,21,23(52.27%),,0(),0(),0(-),,45(cx),23(cx),22(48.89%),,4.953073501586914,15.40625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_4.qasm,45,35,10(22.22%),,45,30,15(33.33%),,0(),0(),0(-),,45(cx),35(cx),10(22.22%),,6.484409332275391,15.4765625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_5.qasm,45,29,16(35.56%),,45,26,19(42.22%),,0(),0(),0(-),,45(cx),29(cx),16(35.56%),,5.031221628189087,15.421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_6.qasm,45,25,20(44.44%),,45,21,24(53.33%),,0(),0(),0(-),,45(cx),25(cx),20(44.44%),,4.687549114227295,15.40625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_7.qasm,45,27,18(40.00%),,45,12,33(73.33%),,0(),0(),0(-),,45(cx),27(cx),18(40.00%),,4.624947786331177,15.43359375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_8.qasm,45,30,15(33.33%),,45,28,17(37.78%),,0(),0(),0(-),,45(cx),30(cx),15(33.33%),,6.140636920928955,15.46484375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.1D2_9.qasm,45,21,24(53.33%),,45,18,27(60.00%),,0(),0(),0(-),,45(cx),21(cx),24(53.33%),,3.7657630443573,15.4765625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_0.qasm,90,73,17(18.89%),,45,29,16(35.56%),,0(),0(),0(-),,90(cx),73(cx),17(18.89%),,17.28115200996399,15.51171875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_1.qasm,90,60,30(33.33%),,45,19,26(57.78%),,0(),0(),0(-),,90(cx),60(cx),30(33.33%),,14.843791723251343,15.4765625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_2.qasm,90,69,21(23.33%),,45,26,19(42.22%),,0(),0(),0(-),,90(cx),69(cx),21(23.33%),,17.265546798706055,15.5546875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_3.qasm,90,66,24(26.67%),,45,20,25(55.56%),,0(),0(),0(-),,90(cx),66(cx),24(26.67%),,17.125,15.6015625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_4.qasm,90,66,24(26.67%),,45,20,25(55.56%),,0(),0(),0(-),,90(cx),66(cx),24(26.67%),,16.07811188697815,15.69140625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_5.qasm,90,65,25(27.78%),,45,27,18(40.00%),,0(),0(),0(-),,90(cx),65(cx),25(27.78%),,16.203105449676514,15.75390625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_6.qasm,90,67,23(25.56%),,45,23,22(48.89%),,0(),0(),0(-),,90(cx),67(cx),23(25.56%),,16.265644311904907,15.65234375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_7.qasm,90,64,26(28.89%),,45,29,16(35.56%),,0(),0(),0(-),,90(cx),64(cx),26(28.89%),,14.437514066696167,15.75390625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_8.qasm,90,72,18(20.00%),,45,34,11(24.44%),,0(),0(),0(-),,90(cx),72(cx),18(20.00%),,18.15628933906555,15.69921875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.2D2_9.qasm,90,66,24(26.67%),,45,27,18(40.00%),,0(),0(),0(-),,90(cx),66(cx),24(26.67%),,16.109444856643677,15.65625
